slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1762956000,82,2,2,20647
btc-updown-15m-1762965000,242,4,2,60351
btc-updown-15m-1762973100,170,8,8,42202
btc-updown-15m-1762982100,72,0,0,17882
btc-updown-15m-1762990200,62,2,2,15544
btc-updown-15m-1762999200,164,8,6,41102
btc-updown-15m-1763007300,188,12,12,47069
btc-updown-15m-1763016300,202,4,4,50467
btc-updown-15m-1763024400,52,4,4,12706
btc-updown-15m-1763033400,160,18,18,39681
btc-updown-15m-1763041500,186,12,12,46006
btc-updown-15m-1763050500,216,6,6,54061
btc-updown-15m-1763058600,104,2,0,26219
btc-updown-15m-1763067600,118,0,0,29552
btc-updown-15m-1763075700,150,20,20,37423
btc-updown-15m-1763084700,224,20,14,55916
btc-updown-15m-1763093700,190,12,12,47543
btc-updown-15m-1763101800,242,20,20,60439
btc-updown-15m-1763110800,274,24,16,68208
btc-updown-15m-1763118900,184,12,10,45653
btc-updown-15m-1763127900,150,2,2,37583
btc-updown-15m-1763136000,168,8,8,42164
btc-updown-15m-1763145000,98,4,2,24543
btc-updown-15m-1763153100,240,30,18,59878
btc-updown-15m-1763162100,154,8,8,38335
btc-updown-15m-1763170200,100,6,2,25115
btc-updown-15m-1763179200,38,0,0,9475
btc-updown-15m-1763187300,52,4,4,13186
btc-updown-15m-1763196300,152,28,24,37644
btc-updown-15m-1763204400,88,6,6,22165
btc-updown-15m-1763213400,110,12,10,27298
btc-updown-15m-1763221500,56,6,4,14308
btc-updown-15m-1763230500,46,0,0,11533
btc-updown-15m-1763238600,104,12,10,26103
btc-updown-15m-1763247600,86,8,6,21291
btc-updown-15m-1763255700,126,14,8,31840
btc-updown-15m-1763264700,118,2,0,29626
btc-updown-15m-1763272800,80,6,4,19816
btc-updown-15m-1763281800,68,6,4,17122
btc-updown-15m-1763289900,98,4,2,24462
btc-updown-15m-1763298900,86,4,4,21077
btc-updown-15m-1763307000,118,4,4,29508
btc-updown-15m-1763316000,84,2,0,21104
btc-updown-15m-1763324100,122,2,2,30436
btc-updown-15m-1763333100,22,2,2,5499
btc-updown-15m-1763341200,178,8,6,44747
btc-updown-15m-1763350200,82,0,0,20441
btc-updown-15m-1763358300,112,4,2,27565
btc-updown-15m-1763367300,62,4,4,15767
btc-updown-15m-1763375400,120,0,0,29817
btc-updown-15m-1763384400,122,6,6,30161
btc-updown-15m-1763392500,234,16,16,58615
btc-updown-15m-1763401500,248,4,2,61680
btc-updown-15m-1763409600,278,24,20,68907
btc-updown-15m-1763418600,100,4,4,24682
btc-updown-15m-1763426700,22,0,0,5633
btc-updown-15m-1763435700,174,2,2,43314
btc-updown-15m-1763443800,156,12,8,38842
btc-updown-15m-1763454600,68,2,2,17237
btc-updown-15m-1763462700,80,4,4,20028
btc-updown-15m-1763471700,156,0,0,38952
btc-updown-15m-1763479800,206,8,6,51308
btc-updown-15m-1763488800,36,2,2,9092
btc-updown-15m-1763496900,138,8,4,34516
btc-updown-15m-1763505900,86,2,2,21304
btc-updown-15m-1763514000,138,8,4,34411
btc-updown-15m-1763523000,30,0,0,7629
btc-updown-15m-1763531100,224,10,4,55621
btc-updown-15m-1763540100,172,12,10,42863
btc-updown-15m-1763548200,132,8,8,32574
btc-updown-15m-1763557200,108,4,4,26736
btc-updown-15m-1763565300,114,0,0,28248
btc-updown-15m-1763574300,220,6,4,54935
btc-updown-15m-1763582400,96,2,0,23775
btc-updown-15m-1763591400,98,0,0,24490
btc-updown-15m-1763599500,54,0,0,13410
btc-updown-15m-1763608500,12,0,0,2988
btc-updown-15m-1763616600,82,8,6,20421
btc-updown-15m-1763625600,146,4,2,35963
btc-updown-15m-1763633700,54,2,0,13408
btc-updown-15m-1763642700,136,2,2,33745
btc-updown-15m-1763650800,164,10,10,40871
btc-updown-15m-1763659800,266,10,10,66232
btc-updown-15m-1763667900,276,8,4,68446
btc-updown-15m-1763676900,142,2,0,35424
btc-updown-15m-1763685000,178,0,0,44180
btc-updown-15m-1763694000,72,2,2,18067
btc-updown-15m-1763702100,226,8,6,56483
btc-updown-15m-1763711100,156,6,4,38852
btc-updown-15m-1763719200,376,10,10,92760
btc-updown-15m-1763728200,60,0,0,15060
btc-updown-15m-1763736300,346,4,4,86059
btc-updown-15m-1763745300,318,14,12,79203
btc-updown-15m-1763753400,232,12,8,57971
btc-updown-15m-1763762400,144,2,2,36098
btc-updown-15m-1763770500,64,0,0,16003
btc-updown-15m-1763779500,122,6,6,30667
btc-updown-15m-1763787600,192,8,8,47914
btc-updown-15m-1763796600,198,12,10,49042
btc-updown-15m-1763805600,134,4,2,33381
btc-updown-15m-1763813700,182,2,2,44966
btc-updown-15m-1763822700,214,6,6,53568
btc-updown-15m-1763830800,146,6,4,36136
btc-updown-15m-1763839800,204,8,8,50687
btc-updown-15m-1763847900,126,0,0,31174
btc-updown-15m-1763856900,174,4,4,42789
btc-updown-15m-1763865000,130,4,2,32229
btc-updown-15m-1763874000,160,4,4,40002
btc-updown-15m-1763882100,114,4,2,28658
btc-updown-15m-1763891100,94,8,6,23469
btc-updown-15m-1763899200,166,6,4,41226
btc-updown-15m-1763908200,198,8,8,49078
btc-updown-15m-1763916300,96,2,2,23737
btc-updown-15m-1763925300,110,2,2,27627
btc-updown-15m-1763933400,132,0,0,32664
btc-updown-15m-1763942400,58,0,0,14658
btc-updown-15m-1763950500,284,8,4,70743
btc-updown-15m-1763959500,182,2,2,44957
btc-updown-15m-1763967600,252,2,2,62440
btc-updown-15m-1763976600,208,4,2,51241
btc-updown-15m-1763984700,164,10,8,40761
btc-updown-15m-1763993700,210,6,4,51677
btc-updown-15m-1764001800,254,10,8,63035
btc-updown-15m-1764010800,192,10,10,47713
btc-updown-15m-1764018900,84,2,0,20991
btc-updown-15m-1764027900,52,2,2,12980
btc-updown-15m-1764036000,176,4,2,43955
btc-updown-15m-1764045000,50,2,2,12468
btc-updown-15m-1764053100,128,4,2,31139
btc-updown-15m-1764062100,174,8,6,42830
btc-updown-15m-1764070200,134,4,0,33023
btc-updown-15m-1764079200,218,6,4,53854
btc-updown-15m-1764087300,50,0,0,12072
btc-updown-15m-1764096300,110,4,4,26834
btc-updown-15m-1764104400,90,2,2,22178
btc-updown-15m-1764113400,158,0,0,39338
btc-updown-15m-1764121500,136,4,4,33430
btc-updown-15m-1764130500,58,0,0,14074
btc-updown-15m-1764138600,156,0,0,38701
btc-updown-15m-1764147600,150,4,2,36785
btc-updown-15m-1764155700,104,2,0,25997
btc-updown-15m-1764164700,188,0,0,46350
btc-updown-15m-1764172800,20,0,0,5213
btc-updown-15m-1764181800,0,0,0,215
btc-updown-15m-1764189900,0,0,0,19
btc-updown-15m-1764207900,292,8,8,36489
btc-updown-15m-1764216000,228,4,2,28368
btc-updown-15m-1764225000,248,8,6,30784
btc-updown-15m-1764233100,174,0,0,21549
btc-updown-15m-1764242100,180,2,2,22367
btc-updown-15m-1764250200,366,0,0,45512
btc-updown-15m-1764259200,288,2,2,35750
btc-updown-15m-1764267300,324,2,0,40202
btc-updown-15m-1764276300,218,8,2,27009
btc-updown-15m-1764284400,88,2,2,21651
btc-updown-15m-1764293400,264,8,6,32938
btc-updown-15m-1764301500,164,2,0,20196
btc-updown-15m-1764310500,188,4,4,23237
btc-updown-15m-1764318600,236,4,4,29363
btc-updown-15m-1764327600,102,0,0,12722
btc-updown-15m-1764335700,204,6,4,25385
btc-updown-15m-1764344700,280,12,12,34948
btc-updown-15m-1764352800,358,4,2,44610
btc-updown-15m-1764361800,140,0,0,17460
btc-updown-15m-1764369900,0,0,0,107
btc-updown-15m-1764378900,114,4,0,14131
btc-updown-15m-1764387000,172,2,2,21306
btc-updown-15m-1764396000,158,6,4,19616
btc-updown-15m-1764404100,220,2,2,27386
btc-updown-15m-1764413100,146,0,0,18118
