slug,startedAt,isWin,pnl,asOfTimeMs,symbol,session,hourOfDayUTC,dayOfWeekUTC,tf1h_atr14Pct,tf1h_bbWidth,tf1h_adx14,tf1h_ema20,tf1h_ema50,tf1h_ema20Over50,tf1h_rv20,tf1h_rv80,tf1h_rv20Over80,tf15m_hlRangePct,tf15m_wickRatio,tf15m_atr14Pct,tf15m_rv20,error
btc-updown-15m-1766653200,,true,2.66,1766653200000,BTCUSDT,EU,9,4,0.0037423536749887666,0.012343265309489494,13.73858267856213,87630.59307632757,87664.96539822978,-0.00039208732640305666,0.001980554427790445,0.0033279508340909162,0.59512731002574,0.001914964552175727,0.8207413849333862,0.0013262298170559283,0.0010735218209376922,
btc-updown-15m-1766654100,,false,-7.05,1766654100000,BTCUSDT,EU,9,4,0.0037423536749887666,0.012343265309489494,13.73858267856213,87630.59307632757,87664.96539822978,-0.00039208732640305666,0.001980554427790445,0.0033279508340909162,0.59512731002574,0.0017583760139078782,0.7127422588550464,0.0013582966689283887,0.0010860341205901956,
btc-updown-15m-1766655000,,false,-6.95,1766655000000,BTCUSDT,EU,9,4,0.0037423536749887666,0.012343265309489494,13.73858267856213,87630.59307632757,87664.96539822978,-0.00039208732640305666,0.001980554427790445,0.0033279508340909162,0.59512731002574,0.0008068677398911659,14.341304347856724,0.0013189563627766564,0.0010850387846836939,
btc-updown-15m-1766655900,,true,2.66,1766655900000,BTCUSDT,EU,9,4,0.0037423536749887666,0.012343265309489494,13.73858267856213,87630.59307632757,87664.96539822978,-0.00039208732640305666,0.001980554427790445,0.0033279508340909162,0.59512731002574,0.000763506559100971,6.864546525317824,0.0012791331058433434,0.0010796091105296133,
btc-updown-15m-1766657700,,true,2.76,1766657700000,BTCUSDT,EU,10,4,0.003602841210417365,0.011963789812380046,13.551848923439147,87620.67754542438,87659.48175519826,-0.00044266985153129657,0.0019483664045589868,0.0033283778465545786,0.5853801744822537,0.0016102042460326312,0.0736247806515119,0.0012571194093238666,0.001103355411415275,
btc-updown-15m-1766659500,,true,2.26,1766659500000,BTCUSDT,EU,10,4,0.003602841210417365,0.011963789812380046,13.551848923439147,87620.67754542438,87659.48175519826,-0.00044266985153129657,0.0019483664045589868,0.0033283778465545786,0.5853801744822537,0.0019521705046095107,0.9755277197864173,0.0012932394019569175,0.0010981709140399614,
btc-updown-15m-1766663100,,true,2.46,1766663100000,BTCUSDT,EU,11,4,0.0035800294112495108,0.010386199808443982,14.056381314572176,87601.00730287668,87649.79972645696,-0.0005566746727608818,0.0018027897348097586,0.0033250188959372444,0.5421893201907939,0.0010258102826967807,2.41682527598003,0.001279051205749942,0.0011589873378051066,
btc-updown-15m-1766664000,,false,-7.74,1766664000000,BTCUSDT,EU,12,4,0.003464918246445492,0.008609820795194376,14.244901783385657,87593.23898837616,87644.63766422782,-0.0005864440451972541,0.0018137924008613693,0.0033020504791002655,0.5492927538029603,0.0010705097260923307,7.826578699339212,0.0012642663878789236,0.0011400550292686358,
btc-updown-15m-1766666700,,true,3.15,1766666700000,BTCUSDT,EU,12,4,0.003464918246445492,0.008609820795194376,14.244901783385657,87593.23898837616,87644.63766422782,-0.0005864440451972541,0.0018137924008613693,0.0033020504791002655,0.5492927538029603,0.0010774619353740467,0.8941129194293019,0.001221163660890441,0.0011658653628214173,
btc-updown-15m-1766667600,,true,2.46,1766667600000,BTCUSDT,EU,13,4,0.0033057927811715473,0.007807141678470448,14.41996954202205,87590.64479935139,87641.51028104358,-0.0005803811633218192,0.0017252500398749944,0.003297767288692746,0.5231569995222112,0.0007042915847155431,0.23804740859795295,0.0011835653424034187,0.0011523470636754464,
btc-updown-15m-1766669400,,false,-7.24,1766669400000,BTCUSDT,EU,13,4,0.0033057927811715473,0.007807141678470448,14.41996954202205,87590.64479935139,87641.51028104358,-0.0005803811633218192,0.0017252500398749944,0.003297767288692746,0.5231569995222112,0.001555056031674624,5.6492172211391765,0.0011876471848080556,0.0007234443672729719,
btc-updown-15m-1766670300,,true,2.46,1766670300000,BTCUSDT,EU,13,4,0.0033057927811715473,0.007807141678470448,14.41996954202205,87590.64479935139,87641.51028104358,-0.0005803811633218192,0.0017252500398749944,0.003297767288692746,0.5231569995222112,0.0023463889731035804,1.0146250490775415,0.0012688618504105586,0.0007591670983881627,
btc-updown-15m-1766674800,,true,2.95,1766674800000,BTCUSDT,EU,15,4,0.0032314800638754576,0.0066842292195449,13.408294399386115,87606.89590187499,87644.26898506623,-0.0004264178779060934,0.0017032586261365615,0.0032990363037196306,0.516289749287134,0.0015176943371137633,0.44774657086876113,0.0013067210467872805,0.0008231669176647707,
btc-updown-15m-1766675700,,true,2.75,1766675700000,BTCUSDT,EU,15,4,0.0032314800638754576,0.0066842292195449,13.408294399386115,87606.89590187499,87644.26898506623,-0.0004264178779060934,0.0017032586261365615,0.0032990363037196306,0.516289749287134,0.0011319743712519506,0.8465687186160697,0.0012934422519377928,0.0007369547742430242,
btc-updown-15m-1766676600,,false,-7.34,1766676600000,BTCUSDT,EU,15,4,0.0032314800638754576,0.0066842292195449,13.408294399386115,87606.89590187499,87644.26898506623,-0.0004264178779060934,0.0017032586261365615,0.0032990363037196306,0.516289749287134,0.005381148339198026,0.5474208560005044,0.0015798196940732612,0.0010360152078200948,
btc-updown-15m-1766677500,,true,2.26,1766677500000,BTCUSDT,EU,15,4,0.0032314800638754576,0.0066842292195449,13.408294399386115,87606.89590187499,87644.26898506623,-0.0004264178779060934,0.0017032586261365615,0.0032990363037196306,0.516289749287134,0.006836879439076142,0.40409631238468413,0.0019450949068895364,0.0013924133825028797,
btc-updown-15m-1766678400,,true,2.85,1766678400000,BTCUSDT,US,16,4,0.003688752005775111,0.009436965755283768,14.815659664048114,87679.69343481194,87672.69773232387,0.00007979339827590692,0.0023526038251164014,0.0033893074014046012,0.6941252434469155,0.003398128792286462,1.2376939140811078,0.0020514074305790883,0.001472761558232363,
btc-updown-15m-1766679300,,true,2.56,1766679300000,BTCUSDT,US,16,4,0.003688752005775111,0.009436965755283768,14.815659664048114,87679.69343481194,87672.69773232387,0.00007979339827590692,0.0023526038251164014,0.0033893074014046012,0.6941252434469155,0.0031592141382517157,3.111455565396711,0.0021316258649779905,0.001498807175192851,
btc-updown-15m-1766680200,,true,2.46,1766680200000,BTCUSDT,US,16,4,0.003688752005775111,0.009436965755283768,14.815659664048114,87679.69343481194,87672.69773232387,0.00007979339827590692,0.0023526038251164014,0.0033893074014046012,0.6941252434469155,0.0019759121720175584,0.4724050632911049,0.002117661860019024,0.0015106125885554294,
btc-updown-15m-1766682000,,false,-7.93,1766682000000,BTCUSDT,US,17,4,0.0038294461165524142,0.00991673630247318,16.12245939526925,87718.45786973111,87688.87934289144,0.0003373121775682719,0.0024911801608469225,0.003399676530907392,0.732769761534346,0.003906665071088948,0.4059138685534421,0.002314584906980398,0.001697433084306581,
btc-updown-15m-1766682900,,true,2.76,1766682900000,BTCUSDT,US,17,4,0.0038294461165524142,0.00991673630247318,16.12245939526925,87718.45786973111,87688.87934289144,0.0003373121775682719,0.0024911801608469225,0.003399676530907392,0.732769761534346,0.002186242050028902,3.2877200802322126,0.0023064389924351714,0.0017007107608992542,
btc-updown-15m-1766683800,,true,3.15,1766683800000,BTCUSDT,US,17,4,0.0038294461165524142,0.00991673630247318,16.12245939526925,87718.45786973111,87688.87934289144,0.0003373121775682719,0.0024911801608469225,0.003399676530907392,0.732769761534346,0.0016749838369285806,37.39583333322336,0.002261212893295807,0.0016959717747108795,
btc-updown-15m-1766688300,,false,-7.24,1766688300000,BTCUSDT,US,18,4,0.003724684756039733,0.010615782557880026,17.33591035471655,87758.51712060261,87706.48552420379,0.0005932468515623679,0.002473713600526568,0.0033390610651618862,0.7408410784504883,0.0018645488525752929,11.005843681517359,0.0020202628256549404,0.0017273500363299017,
btc-updown-15m-1766689200,,true,2.07,1766689200000,BTCUSDT,US,19,4,0.003596531217950847,0.011374084822633662,18.714888552411654,87804.49263300306,87727.41784458712,0.0008785712643735177,0.002359741441914502,0.0033424813066753895,0.7059849331697914,0.0006061790142163115,3.083206106868815,0.0019195353375880857,0.0017310216890252215,
