slug,PNL,isWin
btc-updown-15m-1766888100,2.56,true
btc-updown-15m-1766892600,2.36,true
btc-updown-15m-1766894400,3.05,true
btc-updown-15m-1766895300,2.85,true
btc-updown-15m-1766896200,3.25,true
btc-updown-15m-1766898000,2.07,true
btc-updown-15m-1766898900,2.76,true
btc-updown-15m-1766899800,2.26,true
btc-updown-15m-1766900700,3.35,true
btc-updown-15m-1766901600,2.56,true
btc-updown-15m-1766904300,2.46,true
btc-updown-15m-1766905200,2.46,true
btc-updown-15m-1766906100,2.46,true
btc-updown-15m-1766907000,-6.95,false
btc-updown-15m-1766908800,2.66,true
btc-updown-15m-1766909700,2.7,true
btc-updown-15m-1766910600,-7.44,false
btc-updown-15m-1766911500,2.26,true
btc-updown-15m-1766912400,3.15,true
btc-updown-15m-1766917800,2.67,true
btc-updown-15m-1766920500,2.76,true
btc-updown-15m-1766922300,2.36,true
btc-updown-15m-1766924100,-7.24,false
btc-updown-15m-1766925000,-7.05,false
btc-updown-15m-1766925900,3.15,true
btc-updown-15m-1766927700,2.26,true
btc-updown-15m-1766928600,2.66,true
btc-updown-15m-1766929500,-7.24,false
btc-updown-15m-1766932200,-7.54,false
btc-updown-15m-1766933100,2.36,true
btc-updown-15m-1766934000,2.17,true
btc-updown-15m-1766934900,2.95,true
btc-updown-15m-1766935800,2.26,true
btc-updown-15m-1766937600,2.66,true
btc-updown-15m-1766938500,-7.74,false
btc-updown-15m-1766939400,2.95,true
btc-updown-15m-1766940300,2.76,true
btc-updown-15m-1766941200,2.56,true
btc-updown-15m-1766942100,2.85,true
btc-updown-15m-1766943900,2.56,true
btc-updown-15m-1766946600,-6.46,false
btc-updown-15m-1766947500,2,true
btc-updown-15m-1766948400,-6.85,false
btc-updown-15m-1766949300,2.95,true
btc-updown-15m-1766951100,2.07,true
btc-updown-15m-1766952000,2.36,true
btc-updown-15m-1766953800,2.17,true
btc-updown-15m-1766954700,-7.54,false
btc-updown-15m-1766955600,-6.55,false
btc-updown-15m-1766957400,3.35,true
btc-updown-15m-1766958300,3.42,true
btc-updown-15m-1766959200,2.66,true
btc-updown-15m-1766961000,-7.54,false
btc-updown-15m-1766962800,2.66,true
btc-updown-15m-1766963700,2.17,true
btc-updown-15m-1766964600,2.85,true
btc-updown-15m-1766965500,2.76,true
btc-updown-15m-1766969100,2.56,true
btc-updown-15m-1766970900,2.76,true
btc-updown-15m-1766971800,2.36,true
btc-updown-15m-1766972700,2.46,true
btc-updown-15m-1766975400,2.56,true
btc-updown-15m-1766976300,2.85,true
btc-updown-15m-1766977200,2.46,true
btc-updown-15m-1766979900,-7.64,false
btc-updown-15m-1766980800,2.26,true
btc-updown-15m-1766981700,3.05,true
btc-updown-15m-1766982600,2.36,true
btc-updown-15m-1766983500,2.66,true
btc-updown-15m-1766984400,2.36,true
btc-updown-15m-1766985300,2.26,true
btc-updown-15m-1766988000,-7.34,false
btc-updown-15m-1766989800,3.35,true
btc-updown-15m-1766990700,2.46,true
btc-updown-15m-1766991600,2.56,true
btc-updown-15m-1766992500,2.17,true
btc-updown-15m-1766994300,2.46,true
btc-updown-15m-1766996100,2.56,true
btc-updown-15m-1766997000,2.89,true
btc-updown-15m-1766998800,-7.15,false
btc-updown-15m-1766999700,2.56,true
btc-updown-15m-1767001500,2.36,true
btc-updown-15m-1767002400,2.66,true
btc-updown-15m-1767003300,3.05,true
btc-updown-15m-1767004200,2.85,true
btc-updown-15m-1767005100,3.28,true
btc-updown-15m-1767007800,3.05,true
btc-updown-15m-1767011400,2.36,true
btc-updown-15m-1767012300,2.76,true
btc-updown-15m-1767015000,-7.05,false
btc-updown-15m-1767016800,-6.95,false
btc-updown-15m-1767017700,-7.64,false
btc-updown-15m-1767018600,2.26,true
btc-updown-15m-1767020400,-6.85,false
btc-updown-15m-1767021300,-7.83,false
btc-updown-15m-1767022200,3.45,true
btc-updown-15m-1767024000,2.85,true
btc-updown-15m-1767024900,2.36,true
btc-updown-15m-1767025800,2.57,true
btc-updown-15m-1767028500,-6.85,false
btc-updown-15m-1767031200,-6.75,false
btc-updown-15m-1767032100,-7.44,false
btc-updown-15m-1767033900,2.85,true
btc-updown-15m-1767034800,-7.34,false
btc-updown-15m-1767035700,2.26,true
btc-updown-15m-1767036600,3.25,true
btc-updown-15m-1767037500,2.17,true
btc-updown-15m-1767038400,2.85,true
btc-updown-15m-1767039300,2.56,true
btc-updown-15m-1767042000,2.76,true
btc-updown-15m-1767042900,2.56,true
btc-updown-15m-1767044700,2.95,true
btc-updown-15m-1767046500,2.85,true
btc-updown-15m-1767049200,2.26,true
btc-updown-15m-1767050100,2.56,true
btc-updown-15m-1767051900,2.18,true
btc-updown-15m-1767052800,2.07,true
btc-updown-15m-1767053700,-7.18,false
btc-updown-15m-1767057300,-6.75,false
btc-updown-15m-1767059100,2.26,true
btc-updown-15m-1767062700,2.36,true
btc-updown-15m-1767063600,1.97,true
btc-updown-15m-1767065400,2.26,true
btc-updown-15m-1767068100,3.15,true
btc-updown-15m-1767070800,2.56,true
btc-updown-15m-1767073500,-8.03,false
btc-updown-15m-1767074400,2.07,true
btc-updown-15m-1767075300,2.36,true
btc-updown-15m-1767076200,2.07,true
btc-updown-15m-1767077100,2.76,true
btc-updown-15m-1767079800,2.26,true
btc-updown-15m-1767080700,2.66,true
btc-updown-15m-1767083400,2.56,true
btc-updown-15m-1767084300,-7.05,false
btc-updown-15m-1767085200,-7.34,false
btc-updown-15m-1767087000,3.05,true
btc-updown-15m-1767087900,2.26,true
btc-updown-15m-1767088800,2.85,true
btc-updown-15m-1767089700,3.05,true
btc-updown-15m-1767090600,3.45,true
btc-updown-15m-1767094200,-7.83,false
btc-updown-15m-1767096000,2.95,true
btc-updown-15m-1767096900,-7.64,false
btc-updown-15m-1767097800,3.25,true
btc-updown-15m-1768436100,1.97,true
btc-updown-15m-1768439700,2.76,true
btc-updown-15m-1768442400,-7.74,false
btc-updown-15m-1768446900,2.17,true
btc-updown-15m-1768448700,-6.65,false
btc-updown-15m-1768455000,2.76,true
btc-updown-15m-1768459500,2.66,true
btc-updown-15m-1768472100,2.85,true
btc-updown-15m-1768473900,2.26,true
btc-updown-15m-1768474800,2.76,true
btc-updown-15m-1768477500,2.17,true
btc-updown-15m-1768478400,2.07,true
btc-updown-15m-1768479300,2.46,true
btc-updown-15m-1768481100,2.36,true
btc-updown-15m-1768482000,2.95,true
btc-updown-15m-1768482900,2.95,true
btc-updown-15m-1768486500,2.17,true
btc-updown-15m-1768487400,2.56,true
btc-updown-15m-1768489200,-7.74,false
btc-updown-15m-1768494600,3.05,true
btc-updown-15m-1768497300,3.15,true
btc-updown-15m-1768499100,2.26,true
btc-updown-15m-1768501800,2.46,true
btc-updown-15m-1768502700,2.76,true
btc-updown-15m-1768504500,-7.83,false
btc-updown-15m-1768508100,2.07,true
btc-updown-15m-1768509000,2.26,true
btc-updown-15m-1768510800,2.26,true
btc-updown-15m-1768511700,2.36,true
btc-updown-15m-1768512600,2.66,true
btc-updown-15m-1768513500,2.66,true
btc-updown-15m-1768515300,3.45,true
btc-updown-15m-1768516200,-7.74,false
btc-updown-15m-1768517100,2.36,true
btc-updown-15m-1768519800,3.45,true
btc-updown-15m-1768520700,3.05,true
btc-updown-15m-1768521600,2.66,true
btc-updown-15m-1768522500,2.76,true
btc-updown-15m-1768523400,2.07,true
btc-updown-15m-1768524300,2.95,true
btc-updown-15m-1768525200,2.36,true
btc-updown-15m-1768526100,1.97,true
btc-updown-15m-1768527000,-7.24,false
btc-updown-15m-1768527900,2.56,true
btc-updown-15m-1768528800,2.66,true
btc-updown-15m-1768530600,3.05,true
btc-updown-15m-1768531500,3.15,true
btc-updown-15m-1768532400,1.97,true
btc-updown-15m-1768533300,3.25,true
btc-updown-15m-1768534200,3.15,true
btc-updown-15m-1768535100,2.46,true
btc-updown-15m-1768536000,2.76,true
btc-updown-15m-1768536900,-7.54,false
btc-updown-15m-1768537800,2.76,true
btc-updown-15m-1768538700,-7.54,false
btc-updown-15m-1768539600,2.26,true
btc-updown-15m-1768540500,3.35,true
btc-updown-15m-1768541400,3.25,true
btc-updown-15m-1768543200,-6.95,false
btc-updown-15m-1768544100,2.95,true
btc-updown-15m-1768545000,-6.55,false
btc-updown-15m-1768545900,-6.75,false
btc-updown-15m-1768546800,-6.65,false
btc-updown-15m-1768547700,3.25,true
btc-updown-15m-1768548600,2.26,true
btc-updown-15m-1768549500,2.17,true
btc-updown-15m-1768550400,-7.54,false
btc-updown-15m-1768552200,2.56,true
btc-updown-15m-1768553100,2.66,true
btc-updown-15m-1768554000,2.95,true
btc-updown-15m-1768555800,2.26,true
btc-updown-15m-1768556700,2.85,true
btc-updown-15m-1768557600,2.66,true
btc-updown-15m-1768560300,-6.85,false
btc-updown-15m-1768561200,-7.34,false
btc-updown-15m-1768562100,2.46,true
btc-updown-15m-1768563000,-7.15,false
btc-updown-15m-1768564800,2.76,true
btc-updown-15m-1768565700,2.85,true
btc-updown-15m-1768568400,-7.15,false
btc-updown-15m-1768569300,-6.65,false
btc-updown-15m-1768570200,2.07,true
btc-updown-15m-1768571100,2.17,true
btc-updown-15m-1768572000,-7.54,false
btc-updown-15m-1768572900,-6.75,false
btc-updown-15m-1768573800,3.15,true
btc-updown-15m-1768574700,-7.15,false
btc-updown-15m-1768575600,2.36,true
btc-updown-15m-1768577400,2.17,true
btc-updown-15m-1768578300,-7.93,false
btc-updown-15m-1768579200,2.66,true
btc-updown-15m-1768580100,2.26,true
btc-updown-15m-1768581000,-7.06,false
btc-updown-15m-1768581900,-6.95,false
btc-updown-15m-1768582800,3.25,true
btc-updown-15m-1768583700,-7.64,false
btc-updown-15m-1768584600,2.56,true
btc-updown-15m-1768585500,-6.85,false
btc-updown-15m-1768586400,-6.55,false
btc-updown-15m-1768587300,2.76,true
btc-updown-15m-1768588200,2.76,true
btc-updown-15m-1768589100,2.46,true
btc-updown-15m-1768590000,2.07,true
btc-updown-15m-1768590900,1.97,true
btc-updown-15m-1768592700,3.25,true
btc-updown-15m-1768594500,2.36,true
btc-updown-15m-1768595400,2.36,true
btc-updown-15m-1768596300,3.05,true
btc-updown-15m-1768599900,3.15,true
btc-updown-15m-1768600800,2.76,true
btc-updown-15m-1768601700,3.25,true
btc-updown-15m-1768603500,3.25,true
btc-updown-15m-1768604400,-6.85,false
btc-updown-15m-1768605300,-6.85,false
btc-updown-15m-1768606200,2.26,true
btc-updown-15m-1768608000,2.26,true
btc-updown-15m-1768608900,3.15,true
btc-updown-15m-1768609800,3.35,true
btc-updown-15m-1768610700,-7.24,false
btc-updown-15m-1768611600,-7.15,false
btc-updown-15m-1768612500,3.45,true
btc-updown-15m-1768613400,2.66,true
btc-updown-15m-1768614300,-6.95,false
btc-updown-15m-1768615200,2.76,true
btc-updown-15m-1768616100,3.05,true
btc-updown-15m-1768617000,-7.05,false
btc-updown-15m-1768618800,2.17,true
btc-updown-15m-1768619700,-7.05,false
btc-updown-15m-1768621500,2.56,true
btc-updown-15m-1768622400,3.25,true
btc-updown-15m-1768623300,-8.03,false
btc-updown-15m-1768624200,-6.85,false
btc-updown-15m-1768626000,-7.24,false
btc-updown-15m-1768626900,3.25,true
btc-updown-15m-1768629600,2.36,true
btc-updown-15m-1768630500,2.95,true
btc-updown-15m-1768631400,2.66,true
btc-updown-15m-1768632300,2.85,true
btc-updown-15m-1768634100,2.76,true
btc-updown-15m-1768635000,3.05,true
btc-updown-15m-1768635900,3.05,true
btc-updown-15m-1768636800,2.95,true
btc-updown-15m-1768637700,3.15,true
btc-updown-15m-1768638600,-6.75,false
btc-updown-15m-1768639500,2.17,true
btc-updown-15m-1768641300,-7.54,false
btc-updown-15m-1768642200,-7.64,false
btc-updown-15m-1768644000,2.26,true
btc-updown-15m-1768644900,2.17,true
btc-updown-15m-1768645800,2.56,true
btc-updown-15m-1768646700,2.95,true
btc-updown-15m-1768647600,-7.15,false
btc-updown-15m-1768650300,-6.95,false
btc-updown-15m-1768651200,-7.93,false
btc-updown-15m-1768652100,2.26,true
btc-updown-15m-1768653900,2.76,true
btc-updown-15m-1768654800,3.25,true
btc-updown-15m-1768656600,-6.55,false
btc-updown-15m-1768657500,-7.24,false
btc-updown-15m-1768658400,2.46,true
btc-updown-15m-1768659300,-7.44,false
btc-updown-15m-1768661100,2.56,true
btc-updown-15m-1768662000,2.46,true
btc-updown-15m-1768662900,-7.05,false
btc-updown-15m-1768663800,2.36,true
btc-updown-15m-1768664700,2.46,true
btc-updown-15m-1768665600,2.46,true
btc-updown-15m-1768666500,-6.85,false
btc-updown-15m-1768668300,2.36,true
btc-updown-15m-1768669200,2.36,true
btc-updown-15m-1768670100,2.76,true
btc-updown-15m-1768671000,2.76,true
btc-updown-15m-1768671900,2.66,true
btc-updown-15m-1768672800,2.56,true
btc-updown-15m-1768673700,3.25,true
btc-updown-15m-1768675500,3.15,true
btc-updown-15m-1768677300,3.05,true
btc-updown-15m-1768678200,-7.54,false
btc-updown-15m-1768680900,3.15,true
btc-updown-15m-1768681800,2.85,true
btc-updown-15m-1768683600,3.35,true
btc-updown-15m-1768684500,2.85,true
btc-updown-15m-1768685400,2.66,true
btc-updown-15m-1768686300,2.28,true
btc-updown-15m-1768687200,2.85,true
btc-updown-15m-1768688100,-7.83,false
btc-updown-15m-1768689000,2.56,true
btc-updown-15m-1768690800,2.46,true
btc-updown-15m-1768691700,2.46,true
btc-updown-15m-1768692600,2.76,true
btc-updown-15m-1768693500,2.95,true
btc-updown-15m-1768694400,-7.15,false
btc-updown-15m-1768695300,3.35,true
btc-updown-15m-1768696200,-6.75,false
btc-updown-15m-1768697100,2.85,true
btc-updown-15m-1768698000,2.76,true
btc-updown-15m-1768698900,2.36,true
btc-updown-15m-1768699800,2.85,true
btc-updown-15m-1768700700,2.07,true
btc-updown-15m-1768701600,2.46,true
btc-updown-15m-1768702500,-7.54,false
btc-updown-15m-1768705200,2.46,true
btc-updown-15m-1768706100,2.76,true
btc-updown-15m-1768707000,3.05,true
btc-updown-15m-1768707900,-7.15,false
btc-updown-15m-1768708800,3.25,true
btc-updown-15m-1768709700,2.36,true
btc-updown-15m-1768710600,2.46,true
btc-updown-15m-1768712400,-7.24,false
btc-updown-15m-1768713300,-6.55,false
btc-updown-15m-1768714200,-7.15,false
btc-updown-15m-1768715100,3.25,true
btc-updown-15m-1768716000,3.25,true
btc-updown-15m-1768716900,-6.75,false
btc-updown-15m-1768717800,3.45,true
btc-updown-15m-1768718700,3.15,true
btc-updown-15m-1768719600,2.85,true
btc-updown-15m-1768720500,3.35,true
btc-updown-15m-1768721400,2.17,true
btc-updown-15m-1768722300,-7.15,false
btc-updown-15m-1768724100,3.15,true
btc-updown-15m-1768725000,2.85,true
btc-updown-15m-1768725900,2.95,true
btc-updown-15m-1768726800,-7.34,false
