slug,PNL,isWin,1s,3s,5s,10s,20s,30s,45s,60s,120s,180s,220s
btc-updown-15m-1768743000,2.46,true,0.04999999999999999,0.06,0.06,0.06,0.08000000000000002,0.09999999999999998,0.11,0.15000000000000002,0.24,0.24,0.24
btc-updown-15m-1768745700,-7.15,false,0,0,0,0,0.020000000000000014,0.020000000000000014,0.030000000000000027,0.04999999999999999,0.12999999999999995,0.25,0.27
btc-updown-15m-1768746600,-7.64,false,0,0,0,0.00999999999999998,0.03999999999999998,0.03999999999999998,0.04999999999999999,0.07999999999999999,0.09999999999999998,0.09999999999999998,0.09999999999999998
btc-updown-15m-1768747500,2.17,true,0,0,0.010000000000000007,0.01999999999999999,0.04999999999999999,0.04999999999999999,0.09000000000000002,0.09000000000000002,0.12,0.35000000000000003,0.35000000000000003
btc-updown-15m-1768748400,2.56,true,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.05000000000000002,0.060000000000000026,0.13000000000000003,0.32000000000000006,0.39,0.39,0.39
btc-updown-15m-1768749300,3.05,true,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.020000000000000014,0.030000000000000027,0.07,0.07,0.09000000000000002,0.09000000000000002,0.18
btc-updown-15m-1768750200,3.05,true,0,0,0,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.06,0.11,0.12,0.14999999999999997,0.16999999999999998
btc-updown-15m-1768751100,3.15,true,0,0,0.020000000000000014,0.020000000000000014,0.030000000000000027,0.030000000000000027,0.09000000000000002,0.16999999999999998,0.21,0.3,0.34
btc-updown-15m-1768752000,2.1,true,0.04000000000000001,0.04000000000000001,0.05000000000000002,0.060000000000000026,0.060000000000000026,0.08000000000000002,0.14,0.16000000000000003,0.42,0.42,0.55
btc-updown-15m-1768752900,-6.95,false,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.030000000000000027,0.04999999999999999,0.13999999999999996,0.15999999999999998,0.33999999999999997,0.43999999999999995,0.43999999999999995
btc-updown-15m-1768753800,3.05,true,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.21,0.32,0.35000000000000003,0.35000000000000003,0.35000000000000003
btc-updown-15m-1768754700,3.05,true,0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.020000000000000014,0.030000000000000027,0.21,0.21,0.21,0.21
btc-updown-15m-1768755600,-7.74,false,0,0.03,0.03,0.05000000000000002,0.05999999999999997,0.05999999999999997,0.15,0.22,0.28,0.30000000000000004,0.30000000000000004
