slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1761304500,38,2,0,9440
btc-updown-15m-1761305400,50,12,12,12700
btc-updown-15m-1761320700,0,0,0,0
btc-updown-15m-1761322500,44,8,6,11139
btc-updown-15m-1761323400,18,2,2,4711
btc-updown-15m-1761324300,32,8,8,8078
btc-updown-15m-1761325200,70,8,6,17298
btc-updown-15m-1761327000,28,6,4,7105
btc-updown-15m-1761327900,26,6,4,6358
btc-updown-15m-1761328800,18,4,4,4538
btc-updown-15m-1761329700,30,8,6,7452
btc-updown-15m-1761331500,38,4,2,9620
btc-updown-15m-1761332400,24,6,4,5875
btc-updown-15m-1761333300,20,0,0,5329
btc-updown-15m-1761334200,16,2,0,4258
btc-updown-15m-1761336000,50,16,14,12473
btc-updown-15m-1761336900,26,8,6,6443
btc-updown-15m-1761345900,0,0,0,0
btc-updown-15m-1761346800,20,0,0,5258
btc-updown-15m-1761348600,58,14,12,14441
btc-updown-15m-1761349500,42,6,2,10745
btc-updown-15m-1761350400,50,12,12,12668
