slug,epoch,month,freeze_start_ms,freeze_end_ms,freeze_dur_s,succ_status,succ_events,succ_coverage,pred_status,pred_detail
btc-updown-15m-1768573800,1768573800,2026-01,1768574364108,1768574699000,334.9,alive,1826,covers,not_covering,file_ends_490s_before_freeze;file_end_off_expiry_74s
btc-updown-15m-1768577400,1768577400,2026-01,1768578086035,1768578299000,213.0,alive,1208,covers,not_covering,file_ends_1280s_before_freeze;file_end_off_expiry_-594s
btc-updown-15m-1768580100,1768580100,2026-01,1768580660833,1768580999000,338.2,alive,1554,covers,not_covering,file_ends_956s_before_freeze;file_end_off_expiry_-396s
btc-updown-15m-1768583700,1768583700,2026-01,1768584494517,1768584599000,104.5,alive,715,covers,not_covering,file_ends_1322s_before_freeze;file_end_off_expiry_-527s
btc-updown-15m-1768591800,1768591800,2026-01,1768591991464,1768592699000,707.5,alive,2114,covers,not_covering,file_ends_138s_before_freeze;file_end_off_expiry_54s
btc-updown-15m-1768592700,1768592700,2026-01,1768593449879,1768593599000,149.1,alive,960,covers,not_covering,file_ends_1458s_before_freeze;file_end_off_expiry_-709s
btc-updown-15m-1768594500,1768594500,2026-01,1768594968159,1768595399000,430.8,alive,1580,covers,not_covering,file_ends_622s_before_freeze;file_end_off_expiry_-154s
btc-updown-15m-1768596300,1768596300,2026-01,1768596970005,1768597199000,229.0,alive,1069,covers,not_covering,file_ends_732s_before_freeze;file_end_off_expiry_-62s
btc-updown-15m-1768597200,1768597200,2026-01,1768597998004,1768598099000,101.0,alive,833,covers,not_covering,file_ends_1028s_before_freeze;file_end_off_expiry_-230s
btc-updown-15m-1768599900,1768599900,2026-01,1768600708961,1768600799000,90.0,alive,671,covers,not_covering,file_ends_1286s_before_freeze;file_end_off_expiry_-477s
btc-updown-15m-1768603500,1768603500,2026-01,1768604323862,1768604399000,75.1,alive,829,covers,not_covering,file_ends_968s_before_freeze;file_end_off_expiry_-145s
btc-updown-15m-1768613400,1768613400,2026-01,1768614183127,1768614299000,115.9,alive,853,covers,not_covering,file_ends_930s_before_freeze;file_end_off_expiry_-146s
btc-updown-15m-1768616100,1768616100,2026-01,1768616822829,1768616999000,176.2,alive,1013,covers,not_covering,file_ends_1313s_before_freeze;file_end_off_expiry_-590s
btc-updown-15m-1768618800,1768618800,2026-01,1768619202190,1768619699000,496.8,alive,1578,covers,not_covering,file_ends_346s_before_freeze;file_end_off_expiry_56s
btc-updown-15m-1768721400,1768721400,2026-01,1768721809815,1768722299000,489.2,alive,2001,covers,not_covering,file_ends_337s_before_freeze;file_end_off_expiry_72s
btc-updown-15m-1768724100,1768724100,2026-01,1768724839101,1768724999000,159.9,alive,719,covers,not_covering,file_ends_1015s_before_freeze;file_end_off_expiry_-276s
btc-updown-15m-1768725900,1768725900,2026-01,1768726670334,1768726799000,128.7,alive,585,covers,not_covering,file_ends_925s_before_freeze;file_end_off_expiry_-155s
btc-updown-15m-1768727700,1768727700,2026-01,1768728374739,1768728599000,224.3,alive,1083,covers,not_covering,file_ends_981s_before_freeze;file_end_off_expiry_-306s
btc-updown-15m-1768730400,1768730400,2026-01,1768730662043,1768731299000,637.0,alive,1699,covers,not_covering,file_ends_354s_before_freeze;file_end_off_expiry_-92s
btc-updown-15m-1768735800,1768735800,2026-01,1768736610884,1768736699000,88.1,alive,580,covers,not_covering,file_ends_1213s_before_freeze;file_end_off_expiry_-402s
btc-updown-15m-1768736700,1768736700,2026-01,1768737163845,1768737599000,435.2,alive,1318,covers,not_covering,file_ends_553s_before_freeze;file_end_off_expiry_-89s
btc-updown-15m-1768737600,1768737600,2026-01,1768738046901,1768738499000,452.1,alive,1495,covers,not_covering,file_ends_883s_before_freeze;file_end_off_expiry_-436s
btc-updown-15m-1768740300,1768740300,2026-01,1768740755811,1768741199000,443.2,alive,1649,covers,not_covering,file_ends_492s_before_freeze;file_end_off_expiry_-37s
btc-updown-15m-1768744800,1768744800,2026-01,1768745593783,1768745699000,105.2,alive,790,covers,not_covering,file_ends_829s_before_freeze;file_end_off_expiry_-35s
btc-updown-15m-1768745700,1768745700,2026-01,1768746425741,1768746599000,173.3,alive,692,covers,not_covering,file_ends_832s_before_freeze;file_end_off_expiry_-106s
btc-updown-15m-1768751100,1768751100,2026-01,1768751720032,1768751999000,279.0,alive,1046,covers,not_covering,file_ends_652s_before_freeze;file_end_off_expiry_-32s
btc-updown-15m-1768756500,1768756500,2026-01,1768756807084,1768757399000,591.9,alive,1868,covers,not_covering,file_ends_546s_before_freeze;file_end_off_expiry_-239s
btc-updown-15m-1768759200,1768759200,2026-01,1768759883352,1768760099000,215.6,alive,861,covers,not_covering,file_ends_872s_before_freeze;file_end_off_expiry_-189s
btc-updown-15m-1768765500,1768765500,2026-01,1768765961989,1768766399000,437.0,alive,52,covers,not_covering,file_ends_769s_before_freeze;file_end_off_expiry_-307s
btc-updown-15m-1777663800,1777663800,2026-05,1777664089787,1777664699000,609.2,silent,0,ends_before_freeze_start,not_covering,file_ends_144s_before_freeze;file_end_off_expiry_146s
