slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1762264800,360,66,54,88975
btc-updown-15m-1762272900,260,8,8,63945
btc-updown-15m-1762281900,402,16,8,99113
btc-updown-15m-1762290000,402,20,12,99713
btc-updown-15m-1762299000,362,10,2,89951
btc-updown-15m-1762307100,132,6,6,32570
btc-updown-15m-1762323300,294,8,8,73274
btc-updown-15m-1762331400,366,14,14,91079
btc-updown-15m-1762359300,356,12,4,88455
btc-updown-15m-1762367400,292,20,16,72489
btc-updown-15m-1762377300,272,20,8,67531
btc-updown-15m-1762385400,270,18,14,66839
btc-updown-15m-1762394400,228,6,2,56625
btc-updown-15m-1762402500,142,10,6,34805
btc-updown-15m-1762411500,262,24,10,64934
btc-updown-15m-1762425900,158,8,4,39039
btc-updown-15m-1762434900,188,8,4,46641
btc-updown-15m-1762443000,252,4,0,62561
btc-updown-15m-1762452900,256,18,4,63396
btc-updown-15m-1762461000,338,10,6,83776
btc-updown-15m-1762470000,348,18,8,86309
btc-updown-15m-1762478100,134,10,6,33326
btc-updown-15m-1762487100,116,4,0,28655
btc-updown-15m-1762524900,96,4,0,23742
btc-updown-15m-1762533900,370,8,4,91904
btc-updown-15m-1762542000,280,8,6,69148
btc-updown-15m-1762566300,158,14,4,38767
btc-updown-15m-1762628400,38,10,8,9360
btc-updown-15m-1762637400,128,18,12,32068
btc-updown-15m-1762678800,264,16,14,65364
btc-updown-15m-1762687800,262,22,14,64917
btc-updown-15m-1762695900,342,28,20,84640
btc-updown-15m-1762718400,382,32,28,94980
btc-updown-15m-1762734600,120,16,10,29875
btc-updown-15m-1762758900,274,10,10,67918
btc-updown-15m-1762767000,444,48,42,110066
btc-updown-15m-1762780500,378,38,32,93647
btc-updown-15m-1762788600,546,32,24,135478
btc-updown-15m-1762797600,338,18,18,83609
btc-updown-15m-1762805700,388,26,24,96788
btc-updown-15m-1762828200,220,10,8,54479
btc-updown-15m-1762836300,372,30,30,92328
btc-updown-15m-1762845300,338,20,18,83307
btc-updown-15m-1762853400,276,14,10,67604
btc-updown-15m-1762862400,222,12,12,54306
btc-updown-15m-1762870500,300,14,12,74170
btc-updown-15m-1762879500,430,38,34,106455
btc-updown-15m-1762887600,222,18,14,54919
btc-updown-15m-1762896600,248,8,6,61745
btc-updown-15m-1762904700,422,32,20,104357
btc-updown-15m-1762913700,394,28,22,97442
btc-updown-15m-1762921800,194,12,0,47975
btc-updown-15m-1762930800,176,12,8,43293
btc-updown-15m-1762938900,468,48,30,115888
btc-updown-15m-1762947900,180,4,4,44689
btc-updown-15m-1762956000,220,12,10,54359
btc-updown-15m-1762965000,554,24,18,136656
btc-updown-15m-1762973100,380,12,10,93695
btc-updown-15m-1762982100,158,2,2,39227
btc-updown-15m-1762990200,158,8,6,39192
btc-updown-15m-1762999200,350,20,16,86866
btc-updown-15m-1763007300,368,22,18,91727
btc-updown-15m-1763016300,370,16,14,91661
btc-updown-15m-1763024400,156,4,4,38679
btc-updown-15m-1763033400,330,30,30,81394
btc-updown-15m-1763041500,346,22,22,85373
btc-updown-15m-1763050500,430,18,16,106873
btc-updown-15m-1763058600,342,14,10,84709
btc-updown-15m-1763067600,310,4,4,76824
btc-updown-15m-1763075700,302,24,22,74672
btc-updown-15m-1763084700,528,50,44,130815
btc-updown-15m-1763093700,410,28,26,101299
btc-updown-15m-1763101800,476,32,30,118072
btc-updown-15m-1763110800,576,44,34,142501
btc-updown-15m-1763118900,394,18,16,97669
btc-updown-15m-1763127900,350,16,10,86943
btc-updown-15m-1763136000,364,12,10,90497
btc-updown-15m-1763145000,232,8,6,57755
btc-updown-15m-1763153100,544,44,30,134985
btc-updown-15m-1763162100,314,22,20,78047
btc-updown-15m-1763170200,192,10,4,47886
btc-updown-15m-1763179200,92,0,0,22566
btc-updown-15m-1763187300,184,16,12,45107
btc-updown-15m-1763196300,346,52,46,85872
btc-updown-15m-1763204400,178,16,16,44114
btc-updown-15m-1763213400,266,20,18,65742
btc-updown-15m-1763221500,144,12,10,35847
btc-updown-15m-1763230500,98,4,4,24364
btc-updown-15m-1763238600,180,22,20,44469
btc-updown-15m-1763247600,202,18,14,50165
btc-updown-15m-1763255700,282,38,26,70259
btc-updown-15m-1763264700,256,8,6,63696
btc-updown-15m-1763272800,162,8,4,39760
btc-updown-15m-1763281800,146,16,10,35831
btc-updown-15m-1763289900,246,20,16,60804
btc-updown-15m-1763298900,142,8,8,34883
btc-updown-15m-1763307000,264,14,10,65579
btc-updown-15m-1763316000,228,10,6,56791
btc-updown-15m-1763324100,220,6,6,54037
btc-updown-15m-1763333100,122,4,4,30239
btc-updown-15m-1763341200,356,12,6,88620
btc-updown-15m-1763350200,216,2,2,53535
btc-updown-15m-1763358300,262,12,8,64668
btc-updown-15m-1763367300,172,4,4,42596
btc-updown-15m-1763375400,306,4,4,76217
btc-updown-15m-1763384400,238,8,8,59127
btc-updown-15m-1763392500,544,32,30,135069
btc-updown-15m-1763401500,634,18,12,157417
btc-updown-15m-1763409600,552,40,34,136791
btc-updown-15m-1763418600,214,4,4,52710
btc-updown-15m-1763426700,184,10,8,45438
btc-updown-15m-1763435700,370,6,6,91580
btc-updown-15m-1763443800,286,16,12,70625
btc-updown-15m-1763454600,180,4,4,44561
btc-updown-15m-1763462700,260,14,12,64436
btc-updown-15m-1763471700,310,8,4,76893
btc-updown-15m-1763479800,508,24,22,125307
btc-updown-15m-1763488800,160,6,6,39620
btc-updown-15m-1763496900,352,14,8,87016
btc-updown-15m-1763505900,186,2,2,46010
btc-updown-15m-1763514000,238,10,4,58989
btc-updown-15m-1763523000,122,4,4,30245
btc-updown-15m-1763531100,538,30,20,132775
btc-updown-15m-1763540100,340,16,14,83467
btc-updown-15m-1763548200,310,22,18,76861
btc-updown-15m-1763557200,240,6,4,59318
btc-updown-15m-1763565300,270,12,10,67118
btc-updown-15m-1763574300,480,22,20,118843
btc-updown-15m-1763582400,256,4,2,63109
btc-updown-15m-1763591400,252,10,10,62692
btc-updown-15m-1763599500,172,2,2,42990
btc-updown-15m-1763608500,86,10,8,21337
btc-updown-15m-1763616600,194,10,8,47936
btc-updown-15m-1763625600,268,8,6,65974
btc-updown-15m-1763633700,152,4,0,37384
btc-updown-15m-1763642700,286,2,2,70529
btc-updown-15m-1763650800,336,10,10,83301
btc-updown-15m-1763659800,550,22,18,136812
btc-updown-15m-1763667900,500,12,6,124041
btc-updown-15m-1763676900,266,6,4,65495
btc-updown-15m-1763685000,418,12,6,103387
btc-updown-15m-1763694000,272,8,8,67495
btc-updown-15m-1763702100,578,32,26,143366
btc-updown-15m-1763711100,366,18,14,90861
btc-updown-15m-1763719200,788,28,26,194077
btc-updown-15m-1763728200,256,0,0,63093
btc-updown-15m-1763736300,758,16,12,188324
btc-updown-15m-1763745300,636,24,20,158011
btc-updown-15m-1763753400,426,16,12,105665
btc-updown-15m-1763762400,406,20,14,100634
btc-updown-15m-1763770500,132,8,2,32624
btc-updown-15m-1763779500,282,14,12,70146
btc-updown-15m-1763787600,458,16,12,113825
btc-updown-15m-1763796600,386,16,12,95238
btc-updown-15m-1763805600,270,8,4,66887
btc-updown-15m-1763813700,440,6,4,108912
btc-updown-15m-1763822700,454,10,8,112851
btc-updown-15m-1763830800,284,10,8,70304
btc-updown-15m-1763839800,408,12,12,100715
btc-updown-15m-1763847900,304,6,6,75014
btc-updown-15m-1763856900,406,4,4,99800
btc-updown-15m-1763865000,296,6,4,73453
btc-updown-15m-1763874000,302,8,8,74817
btc-updown-15m-1763882100,250,8,4,61920
btc-updown-15m-1763891100,238,12,8,58730
btc-updown-15m-1763899200,316,8,6,77669
btc-updown-15m-1763908200,464,18,14,114624
btc-updown-15m-1763916300,228,6,6,56334
btc-updown-15m-1763925300,264,4,4,65505
btc-updown-15m-1763933400,270,4,2,66532
btc-updown-15m-1763942400,210,2,2,52011
