month,t_sec,token,state,bid_band,n,n_wins,p_win,avg_bid,med_bid_sz,med_top3_bid
2025-11,840,up,two_sided,0,99,0,0.0,0.0095,560.2,604.8
2025-11,840,up,two_sided,2,66,4,0.0606,0.0241,141.7,1896.9
2025-11,840,up,two_sided,4,33,1,0.0303,0.0427,86.0,1067.2
2025-11,840,up,two_sided,6,33,1,0.0303,0.0655,64.3,579.0
2025-11,840,up,two_sided,8,17,0,0.0,0.0841,58.0,669.6
2025-11,840,up,two_sided,10,26,3,0.1154,0.105,61.5,516.0
2025-11,840,up,two_sided,12,23,3,0.1304,0.1252,75.9,537.1
2025-11,840,up,two_sided,14,9,1,0.1111,0.1422,68.7,339.0
2025-11,840,up,two_sided,16,15,3,0.2,0.1627,23.0,253.0
2025-11,840,up,two_sided,18,14,1,0.0714,0.1843,20.0,232.0
2025-11,840,up,two_sided,20,12,2,0.1667,0.2033,70.5,736.0
2025-11,840,up,two_sided,22,7,1,0.1429,0.2271,52.0,206.2
2025-11,840,up,two_sided,24,11,1,0.0909,0.2445,15.0,277.4
2025-11,840,up,two_sided,26,13,6,0.4615,0.2654,25.0,206.3
2025-11,840,up,two_sided,28,10,3,0.3,0.284,40.0,136.8
2025-11,840,up,two_sided,30,6,1,0.1667,0.3083,41.1,186.6
2025-11,840,up,two_sided,32,9,0,0.0,0.3222,20.0,242.0
2025-11,840,up,two_sided,34,8,3,0.375,0.3438,80.8,355.3
2025-11,840,up,two_sided,36,7,3,0.4286,0.3643,50.5,961.4
2025-11,840,up,two_sided,38,5,1,0.2,0.384,12.0,53.9
2025-11,840,up,two_sided,40,10,4,0.4,0.404,20.0,716.0
2025-11,840,up,two_sided,42,6,1,0.1667,0.4233,15.0,278.0
2025-11,840,up,two_sided,44,8,3,0.375,0.445,250.0,782.5
2025-11,840,up,two_sided,46,8,1,0.125,0.465,64.6,481.3
2025-11,840,up,two_sided,48,30,13,0.4333,0.4877,72799.6,111747.7
2025-11,840,up,two_sided,50,25,13,0.52,0.5036,40.0,450.0
2025-11,840,up,two_sided,52,12,5,0.4167,0.5242,40.0,414.1
2025-11,840,up,two_sided,54,9,5,0.5556,0.5456,11.0,70.0
2025-11,840,up,two_sided,56,12,5,0.4167,0.5667,11.0,325.1
2025-11,840,up,two_sided,58,3,2,0.6667,0.59,18.0,276.0
2025-11,840,up,two_sided,60,16,12,0.75,0.6032,45.8,190.8
2025-11,840,up,two_sided,62,9,5,0.5556,0.6244,22.7,186.0
2025-11,840,up,two_sided,64,10,8,0.8,0.645,21.7,101.5
2025-11,840,up,two_sided,66,9,5,0.5556,0.6689,13.0,65.0
2025-11,840,up,two_sided,68,13,10,0.7692,0.6862,25.0,256.9
2025-11,840,up,two_sided,70,15,12,0.8,0.706,15.0,80.0
2025-11,840,up,two_sided,72,13,10,0.7692,0.7246,19.0,93.0
2025-11,840,up,two_sided,74,14,13,0.9286,0.7479,21.0,114.2
2025-11,840,up,two_sided,76,19,16,0.8421,0.7668,20.0,164.2
2025-11,840,up,two_sided,78,14,12,0.8571,0.785,28.0,109.7
2025-11,840,up,two_sided,80,15,15,1.0,0.804,26.8,159.8
2025-11,840,up,two_sided,82,13,11,0.8462,0.8223,32.0,64.0
2025-11,840,up,two_sided,84,23,23,1.0,0.8461,10.0,117.9
2025-11,840,up,two_sided,86,15,15,1.0,0.8633,12.5,141.6
2025-11,840,up,two_sided,88,17,15,0.8824,0.8853,30.0,150.6
2025-11,840,up,two_sided,90,26,26,1.0,0.9058,13.6,286.0
2025-11,840,up,two_sided,92,28,27,0.9643,0.9246,38.0,217.7
2025-11,840,up,two_sided,94,49,48,0.9796,0.9451,30.3,210.1
2025-11,840,up,two_sided,96,84,82,0.9762,0.9649,55.0,491.2
2025-11,840,up,two_sided,98,51,51,1.0,0.9824,120.0,870.1
2025-11,870,down,bid_only,92,1,1,1.0,0.92,761.8,1521.8
2025-11,870,down,bid_only,94,2,2,1.0,0.95,228.5,410.0
2025-11,870,down,bid_only,96,2,2,1.0,0.965,953.4,1323.0
2025-11,870,down,bid_only,98,689,688,0.9985,0.9902,3307.8,4297.8
2025-11,870,down,two_sided,0,85,1,0.0118,0.0097,595.7,595.7
2025-11,870,down,two_sided,2,52,1,0.0192,0.0252,209.5,1930.1
