token,t_sec,band,n,p_win,avg_ask,dev_c,fn,p25_spread_c,med_spread_c,margin_c,dev_m_p50_c,z,months_agree,dev_lo_c,n_lo,dev_hi_c,n_hi,depth_take,n_stale,dev_fresh_c
UP,450,74,328,0.75,0.7449,0.51,34,1.0,1.0,-1.65,-0.49,0.21,5,-6.22,338,4.61,354,968.0,0,0.51
UP,450,76,354,0.8107,0.7647,4.61,42,1.0,1.0,2.41,3.61,2.21,5,0.51,328,-3.54,379,745.0,0,4.61
UP,450,78,379,0.7493,0.7848,-3.54,39,1.0,1.0,-5.77,-4.54,-1.59,6,4.61,354,0.66,370,676.0,4,-3.81
UP,450,80,370,0.8108,0.8042,0.66,47,1.0,1.0,-1.6,-0.34,0.32,5,-3.54,379,2.11,383,825.0,3,0.5
UP,450,82,383,0.846,0.8248,2.11,43,1.0,1.0,-0.17,1.11,1.15,4,0.66,370,1.66,384,865.0,2,2.29
UP,450,84,384,0.862,0.8454,1.66,44,1.0,1.0,-0.66,0.66,0.94,5,2.11,383,1.43,382,853.0,0,1.66
UP,450,86,382,0.8796,0.8653,1.43,59,1.0,1.0,-0.92,0.43,0.86,4,1.66,384,0.1,403,1259.0,3,1.34
UP,450,88,403,0.8859,0.8849,0.1,42,1.0,1.0,-2.28,-0.9,0.06,5,1.43,382,-0.3,397,993.0,1,0.07
UP,450,90,397,0.9018,0.9048,-0.3,44,1.0,1.0,-2.71,-1.3,-0.2,5,0.1,403,-0.69,379,1369.0,1,-0.33
UP,450,92,379,0.9182,0.9251,-0.69,51,1.0,1.0,-3.13,-1.69,-0.49,3,-0.3,397,0.28,441,1749.0,0,-0.69
UP,450,94,441,0.9478,0.945,0.28,42,1.0,1.0,-2.19,-0.72,0.27,4,-0.69,379,0.4,388,3389.0,1,0.27
UP,450,96,388,0.9691,0.9651,0.4,40,1.0,1.0,-2.11,-0.6,0.45,5,0.28,441,0.75,261,7816.0,0,0.4
UP,450,98,261,0.9923,0.9849,0.75,16,1.0,1.0,-1.79,-0.25,1.39,6,0.4,388,,,2314.0,0,0.75
UP,600,0,199,0.0151,0.0101,0.5,59,0.85,1.0,-0.37,-0.5,0.58,2,,,-1.29,801,2361.0,0,0.5
UP,600,2,801,0.0125,0.0254,-1.29,112,1.0,1.0,-2.33,-2.29,-3.28,8,0.5,199,-1.89,662,1668.0,0,-1.29
UP,600,4,662,0.0257,0.0446,-1.89,68,1.0,1.0,-2.96,-2.89,-3.07,8,-1.29,801,-1.25,550,930.0,2,-1.88
UP,600,6,550,0.0527,0.0652,-1.25,62,1.0,1.0,-2.35,-2.25,-1.31,5,-1.89,662,-2.69,466,843.0,3,-1.4
UP,600,8,466,0.0579,0.0849,-2.69,58,1.0,1.0,-3.83,-3.69,-2.49,6,-1.25,550,-1.76,434,930.0,3,-2.66
UP,600,10,434,0.0876,0.1052,-1.76,38,1.0,1.0,-2.93,-2.76,-1.3,5,-2.69,466,-0.78,393,623.0,2,-1.72
UP,600,12,393,0.117,0.1248,-0.78,37,1.0,1.0,-1.97,-1.78,-0.48,6,-1.76,434,-0.7,341,652.0,3,-0.69
UP,600,14,341,0.1378,0.1448,-0.7,44,1.0,1.0,-1.92,-1.7,-0.37,5,-0.78,393,-1.91,329,525.0,4,-0.53
UP,600,16,329,0.1459,0.165,-1.91,33,1.0,1.0,-3.16,-2.91,-0.98,6,-0.7,341,-0.58,285,576.0,4,-1.73
UP,600,18,285,0.1789,0.1848,-0.58,25,1.0,1.0,-1.87,-1.58,-0.26,3,-1.91,329,-5.32,297,533.0,1,-0.52
UP,600,20,297,0.1515,0.2047,-5.32,41,1.0,1.0,-6.64,-6.32,-2.56,5,-0.58,285,-5.19,266,654.0,2,-5.21
UP,600,22,266,0.1729,0.2248,-5.19,23,1.0,1.0,-6.54,-6.19,-2.24,7,-5.32,297,-0.4,278,741.0,1,-5.12
UP,600,24,278,0.241,0.245,-0.4,36,1.0,1.0,-1.78,-1.4,-0.15,5,-5.19,266,1.46,268,777.0,1,-0.67
UP,600,26,268,0.2799,0.2653,1.46,30,1.0,1.0,0.04,0.46,0.53,5,-0.4,278,-2.43,222,602.0,4,1.13
UP,600,28,222,0.2613,0.2856,-2.43,31,1.0,1.0,-3.88,-3.43,-0.82,6,1.46,268,-4.87,254,533.0,2,-2.2
UP,600,30,254,0.2559,0.3046,-4.87,30,1.0,1.0,-6.34,-5.87,-1.78,6,-2.43,222,-6.97,224,607.0,3,-5.35
UP,600,32,224,0.2545,0.3242,-6.97,30,1.0,1.0,-8.48,-7.97,-2.4,6,-4.87,254,-6.41,228,1049.0,4,-6.95
UP,600,34,228,0.2807,0.3448,-6.41,27,1.0,1.0,-7.95,-7.41,-2.15,6,-6.97,224,-5.46,203,735.0,0,-6.41
UP,600,36,203,0.3103,0.365,-5.46,23,1.0,1.0,-7.03,-6.46,-1.68,6,-6.41,228,-5.97,218,703.0,0,-5.46
UP,600,38,218,0.3257,0.3854,-5.97,21,1.0,1.0,-7.57,-6.97,-1.88,6,-5.46,203,-2.69,196,570.0,2,-5.67
UP,600,40,196,0.3776,0.4044,-2.69,29,1.0,1.0,-4.32,-3.69,-0.78,4,-5.97,218,-2.16,201,735.0,2,-2.81
UP,600,42,201,0.403,0.4246,-2.16,23,1.0,1.0,-3.83,-3.16,-0.63,6,-2.69,196,-4.0,210,653.0,3,-1.55
UP,600,44,210,0.4048,0.4447,-4.0,20,1.0,1.0,-5.69,-5.0,-1.18,6,-2.16,201,2.3,211,312.0,2,-3.6
UP,600,46,211,0.4882,0.4652,2.3,30,1.0,1.0,0.57,1.3,0.67,4,-4.0,210,0.14,228,684.0,9,3.49
UP,600,48,228,0.4868,0.4854,0.14,23,1.0,1.0,-1.61,-0.86,0.04,5,2.3,211,-0.51,511,755.0,18,0.03
UP,600,50,511,0.501,0.5061,-0.51,49,1.0,1.0,-2.3,-1.51,-0.23,3,0.14,228,-3.98,223,3114.0,340,4.52
UP,600,52,223,0.4843,0.5241,-3.98,22,1.0,1.0,-5.8,-4.98,-1.19,5,-0.51,511,5.11,218,528.0,20,-3.67
UP,600,54,218,0.5963,0.5452,5.11,19,1.0,1.0,3.26,4.11,1.54,5,-3.98,223,0.33,319,547.0,11,4.91
UP,600,56,319,0.5737,0.5703,0.33,25,1.0,1.0,-1.56,-0.67,0.12,4,5.11,218,-0.41,99,491.0,4,0.1
UP,600,60,202,0.5594,0.6048,-4.53,29,1.0,1.0,-6.48,-5.53,-1.3,4,-0.41,99,1.72,212,528.0,3,-3.69
UP,600,62,212,0.6415,0.6243,1.72,16,1.0,1.0,-0.26,0.72,0.52,6,-4.53,202,-2.83,214,542.0,2,1.85
UP,600,64,214,0.6168,0.6451,-2.83,30,1.0,1.0,-4.84,-3.83,-0.85,6,1.72,212,-1.16,234,694.0,1,-2.54
UP,600,66,234,0.6538,0.6655,-1.16,25,1.0,1.0,-3.2,-2.16,-0.37,4,-2.83,214,-2.72,225,607.0,3,-1.18
