month,slug,snapshots_checked,mismatches,avg_mid_err_at_mismatch,max_mid_err,snap_cadence_s
2025-12,btc-updown-15m-1766928600,202,6,0.0050,0.0050,193.9
2025-12,btc-updown-15m-1767224700,2,0,,0.0000,28743.9
2026-01,btc-updown-15m-1767225600,216,6,0.0067,0.0100,82.3
2026-01,btc-updown-15m-1767529800,284,8,0.0050,0.0050,113.4
2026-01,btc-updown-15m-1767835800,220,4,0.0050,0.0050,65.3
2026-01,btc-updown-15m-1768133700,264,8,0.0050,0.0050,40.4
2026-01,btc-updown-15m-1768475700,426,2,0.0050,0.0050,385.0
2026-01,btc-updown-15m-1768753800,300,4,0.0050,0.0050,576.8
2026-01,btc-updown-15m-1769048100,578,14,0.0057,0.0100,297.6
2026-01,btc-updown-15m-1769337000,580,6,0.0050,0.0050,299.3
2026-01,btc-updown-15m-1769615100,1018,6,0.0050,0.0050,170.4
2026-01,btc-updown-15m-1769903100,926,6,0.0050,0.0050,187.7
2026-02,btc-updown-15m-1769904000,570,2,0.0050,0.0050,304.8
2026-02,btc-updown-15m-1770175800,458,4,0.0050,0.0050,379.2
2026-02,btc-updown-15m-1770438600,818,2,0.0050,0.0050,212.4
2026-02,btc-updown-15m-1770710400,908,12,0.0050,0.0050,191.2
2026-02,btc-updown-15m-1770982200,866,8,0.0050,0.0050,200.4
2026-02,btc-updown-15m-1771244100,646,2,0.0050,0.0050,268.7
2026-02,btc-updown-15m-1771515900,488,6,0.0067,0.0100,355.6
2026-02,btc-updown-15m-1771787700,328,16,0.0075,0.0150,529.3
2026-02,btc-updown-15m-1772050500,380,8,0.0113,0.0300,456.9
2026-02,btc-updown-15m-1772322300,544,6,0.0067,0.0100,319.1
2026-03,btc-updown-15m-1772323200,686,14,0.0050,0.0050,253.5
2026-03,btc-updown-15m-1772624700,1044,4,0.0050,0.0050,166.5
2026-03,btc-updown-15m-1772914500,620,2,0.0050,0.0050,280.4
2026-03,btc-updown-15m-1773216000,960,16,0.0050,0.0050,181.1
2026-03,btc-updown-15m-1773516600,438,2,0.0050,0.0050,396.4
2026-03,btc-updown-15m-1773807300,496,6,0.0020,0.0050,350.5
2026-03,btc-updown-15m-1774107900,428,6,0.0050,0.0050,405.7
2026-03,btc-updown-15m-1774409400,308,2,0.0050,0.0050,564.3
2026-03,btc-updown-15m-1774699200,308,8,0.0050,0.0050,563.4
2026-03,btc-updown-15m-1775000700,502,4,0.0025,0.0050,346.3
2026-04,btc-updown-15m-1775001600,400,2,0.0050,0.0050,434.1
2026-04,btc-updown-15m-1775293200,182,4,0.0025,0.0050,955.2
2026-04,btc-updown-15m-1775574000,858,16,0.0056,0.0100,202.6
2026-04,btc-updown-15m-1775865600,280,10,0.0080,0.0200,619.9
2026-04,btc-updown-15m-1776156300,430,4,0.0050,0.0050,403.7
2026-04,btc-updown-15m-1776438000,922,18,0.0056,0.0100,188.4
2026-04,btc-updown-15m-1776728700,240,4,0.0050,0.0050,723.3
2026-04,btc-updown-15m-1777020300,238,4,0.0010,0.0015,729.3
2026-04,btc-updown-15m-1777301100,452,4,0.0050,0.0050,384.1
2026-04,btc-updown-15m-1777592700,196,2,0.0050,0.0050,885.6
2026-05,btc-updown-15m-1777593600,184,6,0.0008,0.0020,943.6
2026-05,btc-updown-15m-1777719600,118,0,,0.0000,1471.0
2026-05,btc-updown-15m-1777841100,156,0,,0.0000,1111.2
2026-05,btc-updown-15m-1777967100,210,2,0.0050,0.0050,826.1
2026-05,btc-updown-15m-1778093100,444,6,0.0067,0.0100,391.1
2026-05,btc-updown-15m-1778215500,278,2,0.0150,0.0150,625.0
2026-05,btc-updown-15m-1778341500,264,2,0.0100,0.0100,657.8
2026-05,btc-updown-15m-1778467500,470,4,0.0050,0.0050,369.4
2026-05,btc-updown-15m-1778589000,460,4,0.0050,0.0050,377.2
2026-05,btc-updown-15m-1778715000,314,10,0.0070,0.0150,553.0
