month,t_sec,band_c,n,med_spread,p90_spread,med_top3_bid,p90_top3_bid,med_top3_ask,p90_top3_ask
btc-updown-15m-1771506900,0.61,60,1,1322.94,1322.94,1338.6,1338.6,0.4,0.4
btc-updown-15m-1771515900,0.001,0,1,107.64,107.64,1216.9,1216.9,1.0,1.0
btc-updown-15m-1771515900,0.01,0,3,9653.49,11180.034,2986.3,3011.0,1.0,1.0
btc-updown-15m-1771515900,0.02,2,3,14209.9,16013.22,1578.5,1848.1,1.0,1.0
btc-updown-15m-1771515900,0.05,4,3,3684.45,4640.202,723.8,821.7,0.9,0.9
btc-updown-15m-1771515900,0.07,6,1,4005.84,4005.84,787.0,787.0,0.9,0.9
btc-updown-15m-1771515900,0.07,8,1,3936.43,3936.43,2446.6,2446.6,0.9,0.9
btc-updown-15m-1771515900,0.08,8,2,1314.945,1386.245,870.7,1255.2,0.9,0.9
btc-updown-15m-1771515900,0.09,8,1,794.96,794.96,1540.4,1540.4,0.9,0.9
btc-updown-15m-1771515900,0.09,10,1,395.01,395.01,490.9,490.9,0.9,0.9
btc-updown-15m-1771515900,0.1,10,5,1858.85,2432.89,1202.0,2043.2,0.9,0.9
btc-updown-15m-1771515900,0.11,10,1,2221.66,2221.66,911.5,911.5,0.9,0.9
btc-updown-15m-1771515900,0.12,12,2,2375.365,2400.673,856.7,960.0,0.9,0.9
btc-updown-15m-1771515900,0.13,14,1,1320.29,1320.29,1661.8,1661.8,0.9,0.9
btc-updown-15m-1771515900,0.14,14,4,988.415,1890.112,1476.7,2075.9,0.9,0.9
btc-updown-15m-1771515900,0.15,14,3,2095.5,2174.58,1133.0,1140.4,0.8,0.8
btc-updown-15m-1771515900,0.16,16,1,836.34,836.34,1187.1,1187.1,0.8,0.8
btc-updown-15m-1771515900,0.17,16,1,1556.48,1556.48,1812.3,1812.3,0.8,0.8
btc-updown-15m-1771515900,0.18,18,3,908.06,1165.796,1605.6,1804.8,0.8,0.8
btc-updown-15m-1771515900,0.19,18,1,1901.47,1901.47,1930.4,1930.4,0.8,0.8
btc-updown-15m-1771515900,0.22,22,2,1016.1,1219.084,886.5,1349.8,0.8,0.8
btc-updown-15m-1771515900,0.23,24,1,1469.53,1469.53,768.3,768.3,0.7,0.7
btc-updown-15m-1771515900,0.25,24,1,2558.77,2558.77,838.4,838.4,0.7,0.7
btc-updown-15m-1771515900,0.26,26,1,2075.03,2075.03,761.9,761.9,0.7,0.7
btc-updown-15m-1771515900,0.3,30,1,1296.08,1296.08,1671.1,1671.1,0.7,0.7
btc-updown-15m-1771515900,0.33,32,1,577.39,577.39,1596.5,1596.5,0.7,0.7
btc-updown-15m-1771515900,0.4,40,1,1579.66,1579.66,1160.5,1160.5,0.6,0.6
btc-updown-15m-1771515900,0.41,40,1,2713.13,2713.13,121.9,121.9,0.6,0.6
btc-updown-15m-1771515900,0.42,42,1,572.29,572.29,1594.6,1594.6,0.6,0.6
btc-updown-15m-1771515900,0.44,44,1,249.16,249.16,1432.5,1432.5,0.6,0.6
btc-updown-15m-1771515900,0.45,46,1,83.05,83.05,1743.0,1743.0,0.5,0.5
btc-updown-15m-1771515900,0.47,46,2,836.45,1140.642,1234.1,1695.6,0.5,0.5
btc-updown-15m-1771515900,0.49,48,2,1604.845,2345.905,1547.6,1800.7,0.5,0.5
btc-updown-15m-1771515900,0.51,50,1,1115.31,1115.31,849.9,849.9,0.5,0.5
btc-updown-15m-1771515900,0.54,54,1,1747.85,1747.85,2255.2,2255.2,0.4,0.4
btc-updown-15m-1771515900,0.57,56,1,1763.51,1763.51,819.5,819.5,0.4,0.4
btc-updown-15m-1771515900,0.59,58,1,1557.0,1557.0,1884.7,1884.7,0.4,0.4
btc-updown-15m-1771515900,0.61,60,1,2355.03,2355.03,182.1,182.1,0.4,0.4
btc-updown-15m-1771515900,0.63,62,1,1743.11,1743.11,251.5,251.5,0.4,0.4
btc-updown-15m-1771525800,0.09,8,1,3020.26,3020.26,2237.4,2237.4,0.9,0.9
btc-updown-15m-1771525800,0.1,10,2,2545.965,3056.409,1880.7,2622.9,0.9,0.9
btc-updown-15m-1771525800,0.11,10,1,3247.39,3247.39,829.0,829.0,0.9,0.9
btc-updown-15m-1771525800,0.12,12,2,2063.27,2752.006,1450.9,2144.6,0.9,0.9
btc-updown-15m-1771525800,0.13,12,2,2755.79,3050.934,1093.3,1422.1,0.9,0.9
btc-updown-15m-1771525800,0.14,14,2,2215.69,2758.866,1746.9,2054.7,0.8,0.8
btc-updown-15m-1771525800,0.15,14,3,2886.03,3025.31,1389.8,1529.9,0.8,0.8
btc-updown-15m-1771525800,0.16,16,5,2051.03,2471.966,928.9,1801.4,0.8,0.8
btc-updown-15m-1771525800,0.17,16,3,2510.3,3098.644,1173.9,1249.8,0.8,0.8
btc-updown-15m-1771525800,0.18,18,2,1540.725,2175.857,1233.0,1353.3,0.8,0.8
btc-updown-15m-1771525800,0.19,18,1,1118.54,1118.54,1622.4,1622.4,0.8,0.8
btc-updown-15m-1771525800,0.2,20,2,2106.81,2337.362,876.8,1019.8,0.8,0.8
btc-updown-15m-1771525800,0.21,20,2,2021.67,2171.774,1387.4,1704.6,0.8,0.8
btc-updown-15m-1771525800,0.24,24,1,2084.66,2084.66,787.5,787.5,0.8,0.8
btc-updown-15m-1771525800,0.29,28,2,1696.2,2122.248,774.5,864.9,0.7,0.7
btc-updown-15m-1771525800,0.34,34,1,1145.14,1145.14,1190.9,1190.9,0.7,0.7
btc-updown-15m-1771525800,0.35,34,2,233.76,331.712,1022.4,1449.7,0.6,0.6
btc-updown-15m-1771525800,0.35,36,1,339.0,339.0,692.2,692.2,0.6,0.6
btc-updown-15m-1771525800,0.36,36,1,1510.13,1510.13,1500.3,1500.3,0.6,0.6
btc-updown-15m-1771525800,0.37,36,1,1302.1,1302.1,1807.2,1807.2,0.6,0.6
btc-updown-15m-1771525800,0.37,38,1,423.29,423.29,528.9,528.9,0.6,0.6
btc-updown-15m-1771525800,0.41,40,1,388.32,388.32,554.4,554.4,0.6,0.6
btc-updown-15m-1771525800,0.42,42,3,1179.28,1911.96,902.8,1774.9,0.6,0.6
btc-updown-15m-1771525800,0.45,44,1,420.85,420.85,1280.6,1280.6,0.5,0.5
btc-updown-15m-1771525800,0.46,46,4,609.87,1669.76,827.6,1984.8,0.5,0.5
btc-updown-15m-1771525800,0.48,48,1,476.23,476.23,1415.2,1415.2,0.5,0.5
btc-updown-15m-1771525800,0.49,48,1,290.68,290.68,2740.8,2740.8,0.5,0.5
btc-updown-15m-1771525800,0.5,50,1,1523.61,1523.61,1025.6,1025.6,0.5,0.5
btc-updown-15m-1771525800,0.51,50,1,640.0,640.0,931.2,931.2,0.5,0.5
btc-updown-15m-1771525800,0.53,52,1,1881.4,1881.4,1006.6,1006.6,0.5,0.5
btc-updown-15m-1771525800,0.65,64,1,304.28,304.28,187.5,187.5,0.3,0.3
btc-updown-15m-1771525800,0.85,84,1,569.5,569.5,539.9,539.9,0.1,0.1
btc-updown-15m-1771525800,0.89,88,1,1159.27,1159.27,1256.0,1256.0,0.1,0.1
btc-updown-15m-1771525800,0.9,90,1,1252.24,1252.24,1632.7,1632.7,0.1,0.1
btc-updown-15m-1771525800,0.96,96,1,2716.87,2716.87,6639.7,6639.7,0.0,0.0
btc-updown-15m-1771525800,0.97,96,1,1335.09,1335.09,6330.6,6330.6,0.0,0.0
btc-updown-15m-1771525800,0.98,98,1,1528.15,1528.15,1349.1,1349.1,0.0,0.0
btc-updown-15m-1771535700,0.3,30,1,280.86,280.86,135.2,135.2,0.7,0.7
btc-updown-15m-1771535700,0.32,32,1,34.0,34.0,83.4,83.4,0.7,0.7
btc-updown-15m-1771535700,0.33,32,1,791.75,791.75,772.5,772.5,0.7,0.7
btc-updown-15m-1771535700,0.34,38,1,646.65,646.65,22.0,22.0,0.6,0.6
btc-updown-15m-1771535700,0.35,34,1,4923.54,4923.54,220.9,220.9,0.6,0.6
btc-updown-15m-1771535700,0.36,36,2,1084.415,1880.371,1084.2,1269.0,0.6,0.6
btc-updown-15m-1771535700,0.37,36,2,1921.195,2983.375,858.2,951.1,0.6,0.6
btc-updown-15m-1771535700,0.38,38,1,487.02,487.02,578.9,578.9,0.6,0.6
btc-updown-15m-1771535700,0.39,38,1,1154.5,1154.5,496.9,496.9,0.6,0.6
btc-updown-15m-1771535700,0.4,40,4,1748.15,2452.306,648.5,679.0,0.6,0.6
btc-updown-15m-1771535700,0.41,40,4,661.475,852.429,950.4,1010.0,0.6,0.6
btc-updown-15m-1771535700,0.42,42,2,656.175,656.875,362.8,421.2,0.6,0.6
btc-updown-15m-1771535700,0.43,42,1,311.5,311.5,545.9,545.9,0.6,0.6
btc-updown-15m-1771535700,0.44,44,2,955.69,1363.89,537.9,849.9,0.6,0.6
btc-updown-15m-1771535700,0.45,44,5,737.92,1200.476,404.4,1109.2,0.5,0.5
btc-updown-15m-1771535700,0.46,46,1,1646.29,1646.29,281.7,281.7,0.5,0.5
btc-updown-15m-1771535700,0.47,46,2,1248.125,1958.329,604.9,866.6,0.5,0.5
btc-updown-15m-1771535700,0.48,48,3,1018.91,1467.406,583.0,882.0,0.5,0.5
btc-updown-15m-1771535700,0.48,50,1,643.93,643.93,689.3,689.3,0.5,0.5
btc-updown-15m-1771535700,0.49,48,1,282.88,282.88,907.9,907.9,0.5,0.5
btc-updown-15m-1771535700,0.5,50,4,823.215,1032.373,339.4,1054.5,0.5,0.5
btc-updown-15m-1771535700,0.51,50,2,983.57,1282.29,932.4,1197.2,0.5,0.5
btc-updown-15m-1771535700,0.52,52,2,761.525,891.489,847.6,1132.8,0.5,0.5
btc-updown-15m-1771535700,0.53,52,2,528.75,655.43,1119.4,1197.3,0.5,0.5
btc-updown-15m-1771535700,0.53,54,1,730.11,730.11,2148.1,2148.1,0.5,0.5
btc-updown-15m-1771535700,0.54,54,2,452.085,663.177,755.8,859.6,0.5,0.5
btc-updown-15m-1771535700,0.55,54,3,900.97,951.114,365.9,938.8,0.4,0.4
btc-updown-15m-1771535700,0.55,56,1,60.27,60.27,18.5,18.5,0.4,0.4
btc-updown-15m-1771535700,0.56,56,5,500.43,827.866,559.8,2546.9,0.4,0.4
btc-updown-15m-1771535700,0.6,60,1,53.0,53.0,106.4,106.4,0.4,0.4
btc-updown-15m-1771535700,0.93,94,1,371.0,371.0,765.9,765.9,0.1,0.1
btc-updown-15m-1771545600,0.23,22,1,677.6,677.6,820.4,820.4,0.8,0.8
btc-updown-15m-1771545600,0.25,24,1,1209.39,1209.39,300.6,300.6,0.7,0.7
btc-updown-15m-1771545600,0.28,28,1,655.2,655.2,334.7,334.7,0.7,0.7
btc-updown-15m-1771545600,0.31,30,1,1411.24,1411.24,753.1,753.1,0.7,0.7
btc-updown-15m-1771545600,0.32,32,1,841.01,841.01,974.4,974.4,0.7,0.7
btc-updown-15m-1771545600,0.33,32,1,538.22,538.22,863.6,863.6,0.7,0.7
btc-updown-15m-1771545600,0.34,34,1,488.21,488.21,674.6,674.6,0.7,0.7
btc-updown-15m-1771545600,0.35,34,2,725.125,1295.361,533.4,726.3,0.6,0.6
btc-updown-15m-1771545600,0.35,36,1,2126.19,2126.19,959.7,959.7,0.6,0.6
btc-updown-15m-1771545600,0.36,36,1,904.48,904.48,786.6,786.6,0.6,0.6
btc-updown-15m-1771545600,0.37,36,2,747.485,903.425,907.3,928.5,0.6,0.6
btc-updown-15m-1771545600,0.38,38,2,331.045,367.961,635.8,668.8,0.6,0.6
btc-updown-15m-1771545600,0.39,38,2,272.6,418.52,1156.2,1355.9,0.6,0.6
btc-updown-15m-1771545600,0.39,40,1,388.23,388.23,1602.0,1602.0,0.6,0.6
btc-updown-15m-1771545600,0.4,40,1,144.09,144.09,1012.0,1012.0,0.6,0.6
btc-updown-15m-1771545600,0.41,40,4,357.21,471.0,936.9,1296.4,0.6,0.6
btc-updown-15m-1771545600,0.42,42,2,285.305,331.381,835.5,1259.3,0.6,0.6
btc-updown-15m-1771545600,0.43,42,4,485.325,1357.837,242.9,756.5,0.6,0.6
btc-updown-15m-1771545600,0.44,44,3,1248.97,1257.554,606.2,1188.7,0.6,0.6
btc-updown-15m-1771545600,0.45,44,2,678.085,1034.225,935.0,1300.5,0.5,0.5
btc-updown-15m-1771545600,0.46,46,2,110.035,143.503,197.9,204.3,0.5,0.5
btc-updown-15m-1771545600,0.47,46,1,740.0,740.0,3186.1,3186.1,0.5,0.5
btc-updown-15m-1771545600,0.48,48,1,545.04,545.04,3125.6,3125.6,0.5,0.5
btc-updown-15m-1771545600,0.49,48,3,804.6,957.904,282.6,788.5,0.5,0.5
btc-updown-15m-1771545600,0.5,50,2,449.52,691.056,220.1,356.1,0.5,0.5
btc-updown-15m-1771545600,0.51,50,1,291.13,291.13,459.0,459.0,0.5,0.5
btc-updown-15m-1771545600,0.52,52,1,227.02,227.02,1637.4,1637.4,0.5,0.5
btc-updown-15m-1771545600,0.54,54,2,475.84,703.6,993.0,1123.1,0.5,0.5
btc-updown-15m-1771545600,0.55,54,1,115.68,115.68,586.4,586.4,0.4,0.4
btc-updown-15m-1771545600,0.56,56,1,1009.73,1009.73,429.1,429.1,0.4,0.4
btc-updown-15m-1771545600,0.58,58,1,615.25,615.25,1875.2,1875.2,0.4,0.4
btc-updown-15m-1771545600,0.6,60,1,389.74,389.74,1732.4,1732.4,0.4,0.4
btc-updown-15m-1771545600,0.63,62,1,715.05,715.05,868.1,868.1,0.4,0.4
btc-updown-15m-1771545600,0.69,68,1,46.0,46.0,533.3,533.3,0.3,0.3
btc-updown-15m-1771545600,0.71,70,1,749.09,749.09,698.5,698.5,0.3,0.3
btc-updown-15m-1771545600,0.74,74,1,738.63,738.63,27.2,27.2,0.3,0.3
btc-updown-15m-1771545600,0.93,92,1,121.82,121.82,486.1,486.1,0.1,0.1
btc-updown-15m-1771554600,0.5,50,1,649.71,649.71,1285.0,1285.0,0.5,0.5
btc-updown-15m-1771554600,0.52,52,1,1590.32,1590.32,1121.2,1121.2,0.5,0.5
btc-updown-15m-1771554600,0.53,52,1,1464.63,1464.63,153.4,153.4,0.5,0.5
btc-updown-15m-1771554600,0.54,54,1,877.97,877.97,552.9,552.9,0.5,0.5
btc-updown-15m-1771554600,0.57,56,1,1003.0,1003.0,581.6,581.6,0.4,0.4
btc-updown-15m-1771554600,0.58,58,2,373.58,470.108,684.1,687.9,0.4,0.4
btc-updown-15m-1771554600,0.59,58,1,1162.84,1162.84,294.0,294.0,0.4,0.4
btc-updown-15m-1771554600,0.6,60,1,416.28,416.28,470.6,470.6,0.4,0.4
btc-updown-15m-1771554600,0.6,62,1,343.19,343.19,731.6,731.6,0.4,0.4
btc-updown-15m-1771554600,0.61,60,5,756.38,932.082,553.5,952.9,0.4,0.4
btc-updown-15m-1771554600,0.62,62,1,183.2,183.2,1423.7,1423.7,0.4,0.4
btc-updown-15m-1771554600,0.63,62,1,387.3,387.3,344.7,344.7,0.4,0.4
btc-updown-15m-1771554600,0.65,64,1,150.49,150.49,924.3,924.3,0.3,0.3
btc-updown-15m-1771554600,0.67,66,1,172.75,172.75,1772.7,1772.7,0.3,0.3
btc-updown-15m-1771554600,0.68,68,2,404.715,426.727,1434.9,1720.9,0.3,0.3
btc-updown-15m-1771554600,0.73,72,1,487.2,487.2,1251.6,1251.6,0.3,0.3
btc-updown-15m-1771554600,0.74,74,3,985.34,1240.116,481.5,745.2,0.3,0.3
btc-updown-15m-1771554600,0.75,74,1,957.5,957.5,332.9,332.9,0.2,0.2
btc-updown-15m-1771554600,0.76,76,2,849.72,955.896,475.8,478.4,0.2,0.2
btc-updown-15m-1771554600,0.77,76,1,646.5,646.5,820.2,820.2,0.2,0.2
btc-updown-15m-1771554600,0.78,78,1,296.81,296.81,518.1,518.1,0.2,0.2
btc-updown-15m-1771554600,0.81,80,1,1231.59,1231.59,403.8,403.8,0.2,0.2
btc-updown-15m-1771554600,0.82,82,1,460.72,460.72,791.6,791.6,0.2,0.2
btc-updown-15m-1771554600,0.84,84,1,871.49,871.49,188.8,188.8,0.2,0.2
btc-updown-15m-1771554600,0.89,88,2,797.215,1320.859,1079.9,1182.5,0.1,0.1
btc-updown-15m-1771554600,0.91,90,2,1236.34,1526.084,1162.1,1269.0,0.1,0.1
btc-updown-15m-1771554600,0.92,92,1,770.79,770.79,1700.2,1700.2,0.1,0.1
btc-updown-15m-1771554600,0.93,92,2,1361.92,1497.04,1150.9,1220.5,0.1,0.1
btc-updown-15m-1771554600,0.94,94,4,581.28,612.023,1339.5,1869.7,0.1,0.1
btc-updown-15m-1771554600,0.95,94,2,466.155,542.887,3189.6,3697.9,0.0,0.0
btc-updown-15m-1771554600,0.97,96,2,1716.285,1866.593,4421.4,5257.8,0.0,0.0
btc-updown-15m-1771554600,0.98,98,3,2596.42,2836.788,489.9,2677.0,0.0,0.0
btc-updown-15m-1771554600,0.991,98,1,10248.36,10248.36,193.5,193.5,0.0,0.0
btc-updown-15m-1771554600,0.998,98,1,2211.88,2211.88,121.4,121.4,0.0,0.0
btc-updown-15m-1771564500,0.43,42,1,1075.73,1075.73,812.4,812.4,0.6,0.6
btc-updown-15m-1771564500,0.44,44,2,1073.0,1566.92,1132.0,1489.0,0.5,0.5
btc-updown-15m-1771564500,0.45,44,4,918.305,1062.967,546.4,728.4,0.5,0.5
btc-updown-15m-1771564500,0.46,46,1,329.77,329.77,321.0,321.0,0.5,0.5
btc-updown-15m-1771564500,0.47,46,4,1479.115,1716.641,409.0,726.4,0.5,0.5
btc-updown-15m-1771564500,0.48,48,2,925.155,1349.023,1005.7,1143.0,0.5,0.5
btc-updown-15m-1771564500,0.49,48,2,418.52,471.792,653.0,949.3,0.5,0.5
btc-updown-15m-1771564500,0.5,50,3,518.05,1177.458,674.4,1287.1,0.5,0.5
btc-updown-15m-1771564500,0.51,50,5,941.9,1283.646,686.0,785.8,0.5,0.5
btc-updown-15m-1771564500,0.52,52,1,505.56,505.56,1399.5,1399.5,0.5,0.5
btc-updown-15m-1771564500,0.53,52,3,606.27,884.934,847.9,906.1,0.5,0.5
btc-updown-15m-1771564500,0.55,54,1,297.6,297.6,1015.8,1015.8,0.4,0.4
btc-updown-15m-1771564500,0.56,56,1,911.5,911.5,1050.7,1050.7,0.4,0.4
btc-updown-15m-1771564500,0.63,62,1,310.08,310.08,414.3,414.3,0.4,0.4
btc-updown-15m-1771564500,0.63,64,1,30.02,30.02,1506.9,1506.9,0.4,0.4
btc-updown-15m-1771564500,0.88,88,2,755.755,927.071,1206.2,1521.2,0.1,0.1
btc-updown-15m-1771564500,0.9,90,1,1047.29,1047.29,1243.3,1243.3,0.1,0.1
btc-updown-15m-1771564500,0.91,90,2,414.55,459.958,1875.0,2036.6,0.1,0.1
btc-updown-15m-1771564500,0.92,92,1,1374.74,1374.74,2113.3,2113.3,0.1,0.1
btc-updown-15m-1771564500,0.93,92,1,1532.0,1532.0,2650.2,2650.2,0.1,0.1
btc-updown-15m-1771564500,0.94,94,1,892.94,892.94,2143.1,2143.1,0.1,0.1
btc-updown-15m-1771564500,0.95,94,1,568.17,568.17,3919.4,3919.4,0.0,0.0
btc-updown-15m-1771564500,0.96,96,1,1455.07,1455.07,8019.0,8019.0,0.0,0.0
btc-updown-15m-1771564500,0.97,96,3,1287.72,1827.032,7901.2,7980.5,0.0,0.0
btc-updown-15m-1771564500,0.997,98,2,768.28,998.68,1496.8,2372.0,0.0,0.0
btc-updown-15m-1771574400,0.41,40,2,1406.31,2099.614,445.9,446.1,0.6,0.6
btc-updown-15m-1771574400,0.43,42,1,141.97,141.97,1543.0,1543.0,0.6,0.6
btc-updown-15m-1771574400,0.48,48,1,1020.62,1020.62,1411.5,1411.5,0.5,0.5
btc-updown-15m-1771574400,0.49,48,1,1778.5,1778.5,267.4,267.4,0.5,0.5
btc-updown-15m-1771574400,0.52,52,2,1689.785,1873.605,331.4,465.6,0.5,0.5
btc-updown-15m-1771574400,0.55,54,2,994.275,1544.839,1330.0,1714.0,0.4,0.4
btc-updown-15m-1771574400,0.56,56,2,923.17,1493.434,1040.3,1141.0,0.4,0.4
btc-updown-15m-1771574400,0.57,56,1,1846.97,1846.97,918.4,918.4,0.4,0.4
btc-updown-15m-1771574400,0.58,58,6,1463.115,1728.6,1789.3,2173.7,0.4,0.4
btc-updown-15m-1771574400,0.59,58,1,495.0,495.0,2733.2,2733.2,0.4,0.4
btc-updown-15m-1771574400,0.6,60,1,162.0,162.0,1816.8,1816.8,0.4,0.4
btc-updown-15m-1771574400,0.61,60,1,490.46,490.46,2015.1,2015.1,0.4,0.4
btc-updown-15m-1771574400,0.61,62,1,580.15,580.15,270.7,270.7,0.4,0.4
btc-updown-15m-1771574400,0.62,62,5,431.26,1389.316,1642.0,3149.6,0.4,0.4
btc-updown-15m-1771574400,0.64,64,4,1679.515,2064.322,2289.2,2709.4,0.4,0.4
btc-updown-15m-1771574400,0.65,64,3,1045.77,1287.634,2870.1,2927.8,0.3,0.3
btc-updown-15m-1771574400,0.66,66,1,1450.2,1450.2,1664.3,1664.3,0.3,0.3
btc-updown-15m-1771574400,0.7,70,3,569.89,689.21,699.0,1661.2,0.3,0.3
btc-updown-15m-1771574400,0.71,70,3,432.87,1145.382,1441.0,1614.9,0.3,0.3
btc-updown-15m-1771574400,0.74,74,1,1331.74,1331.74,345.7,345.7,0.3,0.3
btc-updown-15m-1771574400,0.76,76,1,418.29,418.29,743.5,743.5,0.2,0.2
btc-updown-15m-1771574400,0.81,80,1,300.89,300.89,741.1,741.1,0.2,0.2
btc-updown-15m-1771574400,0.82,82,1,628.92,628.92,1872.7,1872.7,0.2,0.2
btc-updown-15m-1771574400,0.83,82,1,440.25,440.25,1633.5,1633.5,0.2,0.2
btc-updown-15m-1771574400,0.85,84,1,474.0,474.0,141.3,141.3,0.1,0.1
btc-updown-15m-1771574400,0.86,86,1,1964.06,1964.06,1337.9,1337.9,0.1,0.1
btc-updown-15m-1771574400,0.87,86,1,666.67,666.67,946.5,946.5,0.1,0.1
btc-updown-15m-1771574400,0.9,90,2,1377.25,1467.05,1283.3,1431.0,0.1,0.1
btc-updown-15m-1771574400,0.91,90,1,1142.23,1142.23,1135.3,1135.3,0.1,0.1
btc-updown-15m-1771574400,0.91,92,1,1427.3,1427.3,2778.9,2778.9,0.1,0.1
btc-updown-15m-1771574400,0.94,94,1,1548.12,1548.12,3132.2,3132.2,0.0,0.0
btc-updown-15m-1771574400,0.95,94,2,1061.73,1536.314,3320.8,3553.4,0.0,0.0
btc-updown-15m-1771574400,0.96,96,1,737.24,737.24,8956.7,8956.7,0.0,0.0
btc-updown-15m-1771574400,0.98,98,2,2410.505,2703.277,1895.7,2938.5,0.0,0.0
btc-updown-15m-1771584300,0.001,0,8,1548.985,2022.321,1292.8,2804.6,1.0,1.0
btc-updown-15m-1771584300,0.002,0,2,2021.715,2025.631,1716.6,1748.9,1.0,1.0
btc-updown-15m-1771584300,0.003,0,1,5315.15,5315.15,2401.5,2401.5,1.0,1.0
btc-updown-15m-1771584300,0.01,0,4,372.435,790.09,2894.9,4221.2,1.0,1.0
btc-updown-15m-1771584300,0.02,2,3,7017.24,8283.68,2498.7,2498.9,1.0,1.0
btc-updown-15m-1771584300,0.03,2,4,11112.63,11790.043,2184.3,2968.7,1.0,1.0
btc-updown-15m-1771584300,0.04,4,1,4639.03,4639.03,2609.1,2609.1,1.0,1.0
btc-updown-15m-1771584300,0.05,4,2,1424.82,1752.364,1124.7,1227.1,0.9,0.9
btc-updown-15m-1771584300,0.13,12,3,793.72,806.864,1038.3,1132.7,0.9,0.9
btc-updown-15m-1771584300,0.16,16,1,223.42,223.42,1063.0,1063.0,0.8,0.8
btc-updown-15m-1771584300,0.17,16,1,930.0,930.0,695.0,695.0,0.8,0.8
btc-updown-15m-1771584300,0.18,18,2,1022.53,1191.066,375.9,396.4,0.8,0.8
btc-updown-15m-1771584300,0.19,18,1,1910.34,1910.34,218.5,218.5,0.8,0.8
btc-updown-15m-1771584300,0.21,20,1,360.64,360.64,348.2,348.2,0.8,0.8
btc-updown-15m-1771584300,0.22,22,3,362.3,571.66,559.8,968.6,0.8,0.8
btc-updown-15m-1771584300,0.29,30,1,1202.33,1202.33,385.7,385.7,0.7,0.7
btc-updown-15m-1771584300,0.31,30,2,512.57,613.666,646.9,815.6,0.7,0.7
btc-updown-15m-1771584300,0.32,32,1,1556.29,1556.29,387.3,387.3,0.7,0.7
btc-updown-15m-1771584300,0.33,32,1,1206.58,1206.58,284.9,284.9,0.7,0.7
btc-updown-15m-1771584300,0.35,34,1,872.67,872.67,187.5,187.5,0.6,0.6
btc-updown-15m-1771584300,0.37,36,1,478.92,478.92,583.1,583.1,0.6,0.6
btc-updown-15m-1771584300,0.5,50,1,574.1,574.1,762.6,762.6,0.5,0.5
btc-updown-15m-1771584300,0.53,52,3,446.77,975.754,538.7,565.8,0.5,0.5
btc-updown-15m-1771584300,0.54,54,1,379.62,379.62,536.4,536.4,0.4,0.4
btc-updown-15m-1771584300,0.55,54,1,640.69,640.69,413.0,413.0,0.4,0.4
btc-updown-15m-1771584300,0.57,56,2,486.675,745.359,853.2,914.7,0.4,0.4
btc-updown-15m-1771584300,0.62,62,1,310.39,310.39,1462.1,1462.1,0.4,0.4
btc-updown-15m-1771584300,0.64,64,1,425.55,425.55,1565.9,1565.9,0.4,0.4
btc-updown-15m-1771594200,0.001,0,8,2612.48,3830.075,2688.6,25962.3,1.0,1.0
btc-updown-15m-1771594200,0.002,0,3,2536.22,2632.052,406.4,845.8,1.0,1.0
btc-updown-15m-1771594200,0.003,0,2,5442.29,5543.242,51558.0,52384.0,1.0,1.0
btc-updown-15m-1771594200,0.02,2,6,13371.27,15835.865,6805.7,7302.1,1.0,1.0
btc-updown-15m-1771594200,0.03,2,3,16368.07,16494.934,5387.4,5797.0,1.0,1.0
btc-updown-15m-1771594200,0.04,4,3,5383.24,9249.128,3785.0,3979.8,1.0,1.0
btc-updown-15m-1771594200,0.05,4,2,2964.285,3069.281,3463.7,4527.3,0.9,0.9
btc-updown-15m-1771594200,0.06,6,1,2919.59,2919.59,3830.8,3830.8,0.9,0.9
btc-updown-15m-1771594200,0.07,6,1,3204.51,3204.51,4159.1,4159.1,0.9,0.9
btc-updown-15m-1771594200,0.08,8,1,4419.61,4419.61,2616.5,2616.5,0.9,0.9
btc-updown-15m-1771594200,0.1,10,1,3349.44,3349.44,699.8,699.8,0.9,0.9
btc-updown-15m-1771594200,0.11,10,3,1828.54,2230.412,2110.5,2337.1,0.9,0.9
btc-updown-15m-1771594200,0.12,12,1,2565.79,2565.79,1494.5,1494.5,0.9,0.9
btc-updown-15m-1771594200,0.13,12,1,1173.18,1173.18,2552.2,2552.2,0.9,0.9
btc-updown-15m-1771594200,0.14,14,1,1840.53,1840.53,2065.3,2065.3,0.9,0.9
btc-updown-15m-1771594200,0.15,14,1,1043.07,1043.07,2771.1,2771.1,0.8,0.8
btc-updown-15m-1771594200,0.25,24,1,3097.08,3097.08,696.9,696.9,0.7,0.7
btc-updown-15m-1771594200,0.28,28,1,1597.99,1597.99,1962.4,1962.4,0.7,0.7
btc-updown-15m-1771594200,0.3,30,1,1815.61,1815.61,358.3,358.3,0.7,0.7
btc-updown-15m-1771594200,0.37,36,1,1526.15,1526.15,1661.2,1661.2,0.6,0.6
btc-updown-15m-1771594200,0.42,42,1,3716.1,3716.1,198.2,198.2,0.6,0.6
btc-updown-15m-1771594200,0.43,42,1,2032.72,2032.72,269.3,269.3,0.6,0.6
btc-updown-15m-1771594200,0.46,46,2,1062.26,1373.188,944.0,1398.3,0.5,0.5
btc-updown-15m-1771594200,0.53,52,1,347.13,347.13,1667.4,1667.4,0.5,0.5
btc-updown-15m-1771603200,0.38,38,1,3057.13,3057.13,1497.8,1497.8,0.6,0.6
