month,t_sec,token,state,ask_band,n,n_wins,p_win,avg_ask,med_ask_sz,med_top3_ask
2025-11,840,up,two_sided,84,12,9,0.75,0.8408,83.5,405.5
2025-11,840,up,two_sided,86,30,28,0.9333,0.8667,42.9,679.5
2025-11,840,up,two_sided,88,16,16,1.0,0.8825,24.0,550.0
2025-11,840,up,two_sided,90,21,20,0.9524,0.9038,60.0,1365.0
2025-11,840,up,two_sided,92,17,16,0.9412,0.9235,48.0,504.5
2025-11,840,up,two_sided,94,44,44,1.0,0.9466,108.2,1036.2
2025-11,840,up,two_sided,96,58,55,0.9483,0.9657,110.9,1919.4
2025-11,840,up,two_sided,98,131,130,0.9924,0.9865,399.4,1050.4
2025-11,870,down,ask_only,0,688,1,0.0015,0.0099,3279.2,4058.1
2025-11,870,down,ask_only,2,6,0,0.0,0.0217,80.0,449.4
2025-11,870,down,ask_only,4,5,0,0.0,0.042,430.3,450.3
