slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1760712300,0,0,0,188
btc-updown-15m-1760713200,0,0,0,119
btc-updown-15m-1760714100,0,0,0,208
btc-updown-15m-1760715900,0,0,0,42
btc-updown-15m-1760716800,6,0,0,1620
btc-updown-15m-1760717700,4,0,0,1056
btc-updown-15m-1760718600,4,0,0,1306
btc-updown-15m-1760720400,2,0,0,927
btc-updown-15m-1760721300,0,0,0,337
btc-updown-15m-1760722200,14,0,0,3506
btc-updown-15m-1760724000,4,0,0,952
btc-updown-15m-1760724900,0,0,0,167
btc-updown-15m-1760725800,8,0,0,2239
btc-updown-15m-1760726700,6,0,0,1499
btc-updown-15m-1760728500,0,0,0,433
btc-updown-15m-1760729400,2,2,2,831
btc-updown-15m-1760730300,24,4,2,6201
btc-updown-15m-1760731200,6,0,0,1753
btc-updown-15m-1760733000,10,4,4,2886
btc-updown-15m-1760733900,16,2,0,3901
btc-updown-15m-1760734800,2,0,0,921
btc-updown-15m-1760747400,12,6,4,3146
btc-updown-15m-1760749200,0,0,0,329
btc-updown-15m-1760750100,4,0,0,1266
btc-updown-15m-1760751000,0,0,0,337
btc-updown-15m-1760751900,4,0,0,1274
btc-updown-15m-1760753700,6,2,0,1788
btc-updown-15m-1760754600,0,0,0,182
btc-updown-15m-1760755500,12,0,0,2997
btc-updown-15m-1760756400,2,2,0,504
btc-updown-15m-1760758200,14,0,0,3867
btc-updown-15m-1760814900,0,0,0,293
btc-updown-15m-1760815800,12,2,0,3255
btc-updown-15m-1760817600,12,2,2,2899
btc-updown-15m-1760818500,0,0,0,186
btc-updown-15m-1760819400,0,0,0,466
btc-updown-15m-1760820300,2,0,0,641
btc-updown-15m-1760822100,0,0,0,432
btc-updown-15m-1760823000,10,4,0,2376
btc-updown-15m-1760823900,0,0,0,391
btc-updown-15m-1760824800,4,0,0,1215
btc-updown-15m-1760873400,0,0,0,0
btc-updown-15m-1760874300,12,2,0,3395
btc-updown-15m-1760875200,2,0,0,822
btc-updown-15m-1760876100,10,0,0,2433
btc-updown-15m-1760877900,4,0,0,1051
btc-updown-15m-1760878800,0,0,0,80
btc-updown-15m-1760879700,16,4,2,4211
btc-updown-15m-1760880600,0,0,0,268
btc-updown-15m-1760882400,10,4,0,2632
btc-updown-15m-1760883300,0,0,0,220
btc-updown-15m-1760884200,0,0,0,457
btc-updown-15m-1760885100,0,0,0,417
btc-updown-15m-1760886900,12,2,0,3359
btc-updown-15m-1760887800,2,0,0,583
btc-updown-15m-1760888700,2,0,0,856
btc-updown-15m-1760890500,20,2,0,4813
btc-updown-15m-1760891400,0,0,0,393
btc-updown-15m-1760892300,2,0,0,482
btc-updown-15m-1760893200,2,0,0,852
btc-updown-15m-1760895000,6,2,2,1469
btc-updown-15m-1760940900,2,0,0,499
btc-updown-15m-1760941800,0,0,0,139
btc-updown-15m-1760942700,16,0,0,4007
btc-updown-15m-1760944500,4,2,2,1030
btc-updown-15m-1760945400,0,0,0,437
btc-updown-15m-1760946300,10,0,0,2510
btc-updown-15m-1760947200,8,0,0,1985
btc-updown-15m-1760949000,18,2,0,4843
btc-updown-15m-1760949900,0,0,0,169
btc-updown-15m-1760950800,18,0,0,4597
btc-updown-15m-1760951700,0,0,0,347
btc-updown-15m-1760953500,4,0,0,1322
btc-updown-15m-1760954400,26,0,0,6314
btc-updown-15m-1760955300,18,0,0,4596
btc-updown-15m-1760956200,0,0,0,119
btc-updown-15m-1760958000,18,4,0,4426
btc-updown-15m-1760958900,4,0,0,1012
btc-updown-15m-1760959800,16,0,0,3987
btc-updown-15m-1760961600,8,0,0,1974
btc-updown-15m-1760962500,2,0,0,834
btc-updown-15m-1760963400,2,0,0,877
btc-updown-15m-1760964300,2,0,0,871
btc-updown-15m-1760966100,4,2,2,1388
btc-updown-15m-1760967000,10,0,0,2846
btc-updown-15m-1760967900,2,0,0,868
btc-updown-15m-1760968800,12,0,0,3004
btc-updown-15m-1760974200,12,0,0,2980
btc-updown-15m-1760975100,10,0,0,2637
btc-updown-15m-1760976000,32,0,0,8193
btc-updown-15m-1760976900,26,8,4,6606
btc-updown-15m-1760978700,10,0,0,2679
btc-updown-15m-1760979600,6,0,0,1671
btc-updown-15m-1760980500,2,0,0,912
btc-updown-15m-1760981400,2,0,0,552
btc-updown-15m-1760983200,12,2,0,3358
btc-updown-15m-1760984100,6,0,0,1622
btc-updown-15m-1760985000,4,0,0,1380
btc-updown-15m-1760986800,2,0,0,460
btc-updown-15m-1760987700,28,6,4,6778
btc-updown-15m-1760988600,16,4,2,4179
btc-updown-15m-1760989500,30,4,2,7348
btc-updown-15m-1760991300,14,0,0,3579
btc-updown-15m-1760992200,16,2,0,3883
btc-updown-15m-1760993100,8,2,0,2106
btc-updown-15m-1760994000,10,0,0,2814
btc-updown-15m-1760995800,2,0,0,465
btc-updown-15m-1760996700,2,0,0,496
btc-updown-15m-1760997600,6,0,0,1642
btc-updown-15m-1760998500,12,2,0,3223
btc-updown-15m-1761000300,10,2,0,2487
btc-updown-15m-1761001200,0,0,0,388
btc-updown-15m-1761002100,8,2,2,2253
btc-updown-15m-1761003000,0,0,0,169
btc-updown-15m-1761004800,2,0,0,532
btc-updown-15m-1761005700,0,0,0,457
btc-updown-15m-1761006600,2,0,0,541
btc-updown-15m-1761007500,16,4,2,3920
btc-updown-15m-1761009300,0,0,0,235
btc-updown-15m-1761010200,0,0,0,251
btc-updown-15m-1761011100,0,0,0,405
btc-updown-15m-1761012900,0,0,0,183
btc-updown-15m-1761016500,18,4,2,4603
btc-updown-15m-1761017400,12,0,0,3147
btc-updown-15m-1761018300,0,0,0,97
btc-updown-15m-1761020100,16,6,4,4091
btc-updown-15m-1761021000,0,0,0,231
btc-updown-15m-1761021900,10,0,0,2734
btc-updown-15m-1761022800,14,0,0,3517
btc-updown-15m-1761024600,4,0,0,1036
btc-updown-15m-1761025500,2,0,0,757
btc-updown-15m-1761026400,2,0,0,569
btc-updown-15m-1761027300,0,0,0,389
btc-updown-15m-1761036300,4,0,0,1292
btc-updown-15m-1761037200,8,0,0,2239
btc-updown-15m-1761038100,20,6,6,5200
btc-updown-15m-1761039000,2,0,0,670
btc-updown-15m-1761040800,20,2,0,5102
btc-updown-15m-1761041700,0,0,0,361
btc-updown-15m-1761042600,2,0,0,738
btc-updown-15m-1761043500,0,0,0,326
btc-updown-15m-1761045300,22,6,6,5719
btc-updown-15m-1761046200,4,0,0,986
btc-updown-15m-1761047100,2,0,0,583
btc-updown-15m-1761048900,0,0,0,244
btc-updown-15m-1761049800,6,0,0,1492
btc-updown-15m-1761050700,2,0,0,823
btc-updown-15m-1761051600,4,0,0,1168
btc-updown-15m-1761053400,12,2,0,3211
btc-updown-15m-1761054300,0,0,0,306
btc-updown-15m-1761055200,0,0,0,162
btc-updown-15m-1761056100,24,0,0,6377
btc-updown-15m-1761057900,2,0,0,534
btc-updown-15m-1761058800,10,4,0,2721
btc-updown-15m-1761059700,0,0,0,430
btc-updown-15m-1761060600,12,0,0,3090
btc-updown-15m-1761062400,22,2,0,5508
btc-updown-15m-1761063300,10,0,0,2617
btc-updown-15m-1761064200,4,0,0,1432
btc-updown-15m-1761065100,0,0,0,338
